#Wed Mar  3 18:50:28 2021#Liste2AFC_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_peak_F08	peak	I	1.2440316189895384	0	0
I_mean_H05	mean	I	0.8712076539959526	0	0
I_teak_F05	teak	I	0.9447808010008885	0	0
I_beak_F07	beak	I	0.7903851009905338	0	0
I_keep_F07	keep	I	0.7665484160097549	0	0
I_cheap_H05	cheap	I	0.7514219109871192	0	0
i_min_F05	min	i	0.843613495992031	0	0
I_teak_H06	teak	I	0.8456183060043259	0	0
I_mean_H04	mean	I	0.7902580199879594	0	0
i_chip_H05	chip	i	0.8420196170045529	0	0
i_pick_F06	pick	i	0.8116241690004244	0	0
i_min_F06	min	i	0.7524157090083463	0	0
I_keep_H06	keep	I	1.0103445179993287	0	0
I_seek_F07	seek	I	0.8307886690017767	0	0
i_bik_F04	bik	i	0.711369950993685	0	0
I_deed_F07	deed	I	0.6704448200034676	0	0
I_bean_F08	bean	I	0.77055978399585	0	0
I_cheap_F04	cheap	I	0.8103078290005215	0	0
i_bik_H04	bik	i	0.7709731289942283	0	0
i_bin_H06	bin	i	0.8516172650124645	0	0
i_bin_F06	bin	i	0.59999918199901	0	0
I_peak_F04	peak	I	0.7320335080003133	0	0
i_sick_H04	sick	i	0.7759697239962406	0	0
I_teak_H05	teak	I	0.6305874859972391	0	0
i_bik_H07	bik	i	1.0178680810058722	0	0
I_keep_H07	keep	I	0.5728104750014609	0	0
i_did_F08	did	i	0.7161002049979288	0	0
i_pick_H09	pick	i	0.08792013399943244	1	0
I_teak_F04	teak	I	0.9757127529883292	0	0
i_pick_H04	pick	i	0.7728293149993988	0	0

#TotalErreurs#1TempsTotal#1min 16sec
