Wed Feb  3 17:57:04 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
i_did_F04	did	i	i	4.74425421000069	0	0
I_keep_F05	keep	I	I	5.91671306400076	0	0
a_tat_H04	tat	a	a	2.290236335999907	0	0
a_cat_H06	cat	a	a	1.2818662210002003	0	0
i_did_F09	did	i	i	3.1589192880001065	0	0
v_puck_F08	puck	v	v	4.457644639999671	0	0
A_cart_F04	cart	A	A	2.1017422489994715	0	0
v_cud_H05	cud	v	v	1.9081672820002495	0	0
v_cut_F07	cut	v	v	1.3286690819995783	0	0
A_cart_F06	cart	A	A	1.4941604579998966	0	0
i_kip_H04	kip	i	i	2.0916134179997243	0	0
i_pick_F09	pick	i	i	2.2663904250002815	0	0
a_ban_H05	ban	a	a	3.7566593640003703	0	0
v_cud_F05	cud	v	v	1.9192422159994749	0	0
I_peak_F08	peak	I	I	1.927116228000159	0	0
v_cut_F06	cut	v	v	1.7883270239999547	0	0
a_pack_H09	pack	a	a	1.8405347939997228	0	0
v_tut_F06	tut	v	v	1.7532465900003444	0	0
a_tat_F07	tat	a	a	2.3416648680004073	0	0
i_kip_H06	kip	i	i	1.6361325850002686	0	0
I_deed_F04	deed	I	I	1.978657695000038	0	0
A_park_F06	park	A	A	1.7833697630003371	0	0
a_cat_F05	cat	a	a	2.026932755999951	0	0
I_keep_H08	keep	I	I	1.72942920100013	0	0
I_seek_F08	seek	I	I	1.905718887999683	0	0
i_tick_F04	tick	i	i	1.6673773470001834	0	0
v_puck_F09	puck	v	v	1.5990147960001195	0	0
a_cad_H05	cad	a	a	2.1545577199995023	0	0
v_cud_F09	cud	v	v	1.5203989370002091	0	0
a_cad_F09	cad	a	a	2.1171741409998504	0	0

#TotalErreurs#0#TempsTotal#2min 3sec
