#Tue Feb  9 19:13:56 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_teak_H06-I_teak_H08	1	1	1	3.8427388389827684	0	0
i_chip_F06-I_chip_F05	2	1	0	3.372150132083334	1	0
I_cheap_F09-i_cheap_F08	2	1	0	0.5237707319902256	1	0
I_leak_F05-i_lick_F09	2	2	1	22.11005010199733	0	0
i_did_F04-I_deed_F09	2	2	1	1.0602367479586974	0	0
i_did_H08-I_deed_H05	2	2	1	0.986462259083055	0	0
I_seek_H08-I_seek_H07	1	2	0	0.048431364935822785	1	0
i_sick_F07-i_sick_F08	1	1	1	1.0177090370561928	0	0
i_sick_H04-I_seek_H07	2	2	1	5.733891502022743	0	0
I_deed_H08-I_deed_H05	1	1	1	1.0661263900110498	0	0
i_chip_H05-i_cheap_H08	1	2	0	0.0393401850014925	1	0
i_kip_F09-i_kip_F06	1	1	1	0.9580869720084593	0	0
I_cheap_F07-i_cheap_F06	2	1	0	0.24989946698769927	1	0
i_did_F07-i_did_F04	1	1	1	0.9607648280216381	0	0
I_seek_F07-i_sick_F09	2	2	1	1.3509451569989324	0	0
I_teak_H08-I_teak_H04	1	1	1	1.4671786068938673	0	0
i_tick_F05-i_tick_F08	1	1	1	0.7478726600529626	0	0
I_deed_F06-I_deed_F09	1	1	1	1.2103188830660656	0	0
I_seek_H09-i_sick_H05	2	2	1	0.9722964619286358	0	0
i_kip_F05-i_kip_F04	1	1	1	0.9173284029820934	0	0
i_kip_H08-I_keep_H04	2	2	1	1.0989355710335076	0	0
I_bean_F05-i_bin_F06	2	2	1	0.880553730065003	0	0
I_teak_F09-i_tick_F05	2	2	1	1.0937315879855305	0	0
I_bean_F09-i_bin_F06	2	2	1	1.4805506630800664	0	0
i_sick_H09-i_sick_H06	1	1	1	1.5923949549905956	0	0
I_leak_F09-i_lick_F08	2	2	1	1.5937851559137926	0	0
I_leak_F08-I_leak_F09	1	1	1	1.5170335590373725	0	0
I_peak_H05-i_pick_H06	2	2	1	0.9981199089670554	0	0
i_did_H07-i_did_H04	1	1	1	1.4167652290780097	0	0
i_chip_F04-I_chip_F05	2	1	0	0.05108179396484047	1	0

#TotalErreurs#6#TempsTotal#3min 22sec
