#Sun Apr 04 20:44:38 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_puck_H06-A_park_H08	2	2	1	0.27814798313193023	0	0
v_cup_F07-v_cup_F04	1	1	1	0.2834189173299819	0	0
v_cut_H08-A_cart_H05	2	1	0	0.07261893560644239	1	0
A_part_F07-v_putt_F04	2	1	0	0.16161289939191192	1	0
v_cup_H07-v_cup_H04	1	1	1	0.7496130215004087	0	0
A_tart_H06-A_tart_H08	1	1	1	0.25149302277714014	0	0
v_cud_H09-v_cud_H06	1	2	0	0.2475919754942879	1	0
A_lark_H09-v_luck_H06	2	1	0	0.31641607894562185	1	0
v_cut_H07-v_cut_H04	1	1	1	0.6241339835105464	0	0
v_cup_H09-v_cup_H06	1	1	1	0.25586310552898794	0	0
A_carp_F04-A_carp_F05	1	1	1	0.20279698842205107	0	0
A_card_F05-v_cud_F04	2	2	1	0.5186008997261524	0	0
v_cut_H05-v_cut_H07	1	1	1	0.2034639031626284	0	0
v_cut_H04-A_cart_H09	2	1	0	0.191422960604541	1	0
A_part_H08-A_part_H09	1	1	1	0.08712289517279714	0	0
v_cup_F08-A_carp_F06	2	1	0	0.18490901787299663	1	0
v_cup_F09-v_cup_F06	1	1	1	0.5624839896336198	0	0
v_buck_F06-A_bark_F08	2	1	0	0.042792998370714486	1	0
A_part_H04-A_part_H09	1	1	1	0.12233791267499328	0	0
v_tut_H04-A_tart_H07	2	2	1	0.1683490575524047	0	0
A_park_H05-v_puck_H09	2	2	1	0.21053006581496447	0	0
v_luck_H05-v_luck_H04	1	1	1	0.5055169048719108	0	0
A_card_F04-A_card_F08	1	1	1	1.0125829131575301	0	0
A_mart_H05-v_mutt_H07	2	1	0	0.15061505569610745	1	0
v_puck_F04-A_park_F07	2	2	1	0.8338689468801022	0	0
A_park_F04-A_park_F06	1	1	1	0.10261303838342428	0	0
v_cud_H07-v_cud_H08	1	1	1	0.3447029535891488	0	0
v_putt_H04-A_part_H06	2	2	1	0.14163002383429557	0	0
A_bark_H06-A_bark_H04	1	1	1	0.18761206371709704	0	0
v_mutt_F05-v_mutt_F04	1	1	1	0.23447293776553124	0	0

#TotalErreurs#8#TempsTotal#2min 2sec
