#Sun Feb 14 13:25:46 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_lark_F09-v_luck_F06	2	2	1	0.24961300857830793	0	1
A_tart_F09-v_tut_F05	2	2	1	0.33836208237335086	0	1
A_park_F06-A_park_F05	1	1	1	0.314570929040201	0	0
A_tart_H07-v_tut_H04	2	2	1	0.1885491096181795	0	1
v_cut_F08-A_cart_F05	2	2	1	0.2097840973874554	0	1
A_lark_F08-A_lark_F09	1	1	1	0.4956269741524011	0	1
v_mutt_F05-v_mutt_F04	1	1	1	0.5706251068040729	0	1
v_puck_H06-A_park_H08	2	1	0	0.09635204437654465	1	2
A_carp_H09-v_cup_H08	2	1	0	0.39585297682788223	1	1
A_lark_H05-v_luck_H06	2	1	0	0.2960619321092963	1	1
v_cup_F08-A_carp_F06	2	2	1	0.11078889097552747	0	1
A_bark_H04-A_bark_H09	1	2	0	0.5396309008356184	1	1
A_mart_F08-A_mart_F07	1	1	1	0.6006209693150595	0	1
A_bark_F07-v_buck_F04	2	2	1	0.7296041060471907	0	1
A_lark_F05-v_luck_F06	2	2	1	0.34916894300840795	0	1
v_putt_H04-A_part_H06	2	2	1	1.0876459145219997	0	0
A_park_H08-A_park_H09	1	1	1	0.16673092870041728	0	0
A_mart_F09-v_mutt_F05	2	1	0	0.3860979287419468	1	1
A_park_F09-v_puck_F08	2	2	1	0.6166819786885753	0	0
A_mart_H09-v_mutt_H05	2	2	1	0.1515899170190096	0	1
v_bun_F06-A_barn_F07	2	2	1	0.22060899005737156	0	1
v_putt_H09-v_putt_H08	1	1	1	0.20175409119110554	0	1
v_tut_F05-v_tut_F08	1	1	1	0.7255940806353465	0	0
v_tut_H04-A_tart_H07	2	2	1	0.17769007105380297	0	0
A_part_H09-v_putt_H04	2	2	1	0.5849049743264914	0	0
A_tart_F06-A_tart_F08	1	1	1	0.39070608164183795	0	0
v_cup_H05-v_cup_H08	1	1	1	0.5289661119459197	0	0
v_buck_H08-A_bark_H07	2	2	1	0.17865405918564647	0	0
A_mart_F06-A_mart_F05	1	1	1	0.39846711431164294	0	0
A_carp_H08-A_carp_H07	1	1	1	0.26844110433012247	0	0

#TotalErreurs#5#TempsTotal#2min 41sec
