#Sun Apr 04 20:52:32 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
i_did_F04-I_deed_F09	2	2	1	0.10985599178820848	0	0
I_seek_F08-I_seek_F07	1	1	1	0.1891738974954933	0	0
I_seek_F06-I_seek_F05	1	1	1	0.1400249837897718	0	0
i_sick_H06-I_seek_H05	2	2	1	0.2988329504150897	0	0
i_bin_H06-I_bean_H04	2	2	1	0.2633310997625813	0	0
I_cheap_H07-i_cheap_H06	2	1	0	0.49824204249307513	2	0
i_lick_H05-i_lick_H06	1	1	1	0.4699060703860596	0	0
I_teak_F08-I_teak_F04	1	1	1	0.11759604839608073	0	0
I_mean_F09-i_min_F07	2	2	1	0.1114059891551733	0	0
i_pick_F07-i_pick_F06	1	1	1	0.08307205478195101	0	0
i_bin_F07-i_bin_F09	1	1	1	0.030195064842700958	0	0
I_bean_H05-i_bin_H06	2	2	1	0.16595798649359494	0	0
i_lick_H06-I_leak_H08	2	2	1	0.17994210170581937	0	0
I_cheap_H05-i_cheap_H07	2	1	0	0.28830004611518234	1	0
I_mean_F08-I_mean_F06	1	1	1	0.7811059789964929	0	0
i_tick_H04-I_teak_H07	2	2	1	0.10662406077608466	0	0
I_seek_F05-i_sick_F07	2	1	0	0.19845410983543843	1	0
I_beak_F07-i_bik_F04	2	2	1	0.14361399598419666	0	0
I_leak_H06-I_leak_H05	1	1	1	0.3264439618214965	0	0
I_cheap_H06-I_chip_H07	1	2	0	0.08902806369587779	1	0
I_leak_H09-i_lick_H08	2	2	1	0.1556719586951658	0	0
i_lick_F05-i_lick_F06	1	1	1	0.031038890010677278	0	0
I_mean_H09-i_min_H07	2	2	1	0.06815591384656727	0	0
i_min_H05-i_min_H09	1	1	1	0.17045092931948602	0	0
i_sick_F05-i_sick_F04	1	2	0	0.1271119846496731	1	0
i_bin_F06-I_bean_F04	2	2	1	0.31860208755824715	0	0
i_pick_H05-i_pick_H08	1	1	1	0.1534669609973207	0	0
i_did_F05-i_did_F07	1	2	0	0.30551496939733624	1	0
i_kip_F09-i_kip_F06	1	1	1	0.29939210845623165	0	0
I_deed_F05-i_did_F04	2	2	1	0.1574460141127929	0	0

#TotalErreurs#7#TempsTotal#1min 57sec
