#Mon Mar 29 11:12:52 2021#Liste2AFC_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_buck_F05	buck	v	1.3089148998260498	0	0
v_puck_F07	puck	v	1.107602834701538	0	0
a_pack_H09	pack	a	1.4394450187683105	0	0
a_mat_H06	mat	a	0.8609826564788818	0	0
v_cut_H09	cut	v	0.8938677310943604	0	0
v_mutt_H04	mutt	v	0.7962169647216797	1	0
a_ban_F07	ban	a	1.379741907119751	0	0
v_cud_F07	cud	v	1.2212867736816406	0	0
v_putt_H05	putt	v	2.4023499488830566	0	0
a_tat_H05	tat	a	1.6683979034423828	0	0
a_back_F07	back	a	1.8580899238586426	0	0
a_back_H04	back	a	1.9680168628692627	0	0
v_puck_F04	puck	v	0.8449740409851074	1	0
v_bun_F09	bun	v	0.8289780616760254	1	0
a_lack_H09	lack	a	1.4736888408660889	0	0
v_bun_H04	bun	v	1.6882567405700684	0	0
a_ban_H05	ban	a	2.9392640590667725	0	0
a_ban_H07	ban	a	1.7994651794433594	0	0
a_mat_F09	mat	a	1.4828119277954102	0	0
v_mutt_F05	mutt	v	2.6944639682769775	1	0
v_bun_H09	bun	v	1.450071096420288	0	0
v_tut_H04	tut	v	1.4474101066589355	0	0
a_pat_H06	pat	a	15.579422950744629	0	0
v_cut_H07	cut	v	2.506878137588501	0	0
v_cut_H05	cut	v	1.1486997604370117	0	0
v_cup_F07	cup	v	1.1606221199035645	0	0
v_mutt_F04	mutt	v	1.2980921268463135	0	0
v_mutt_F06	mutt	v	1.569931983947754	0	0
v_luck_H08	luck	v	1.2676117420196533	0	0
a_lack_F09	lack	a	1.0204172134399414	0	0

#TotalErreurs#4TempsTotal#2min 4sec
