Wed Feb 03 11:18:05 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
i_lick_F09	lick	i	i	4.114747047424316	0	0
i_min_H08	min	i	I	1.0948948860168457	1	0
I_mean_H06	mean	I	I	1.73313307762146	0	0
I_bean_F09	bean	I	I	1.7098679542541504	0	0
I_bean_H08	bean	I	I	1.5654940605163574	0	0
i_bik_F09	bik	i	i	1.211350917816162	0	0
v_cup_F08	cup	v	A	0.8395140171051025	1	0
v_putt_H09	putt	v	v	1.649824619293213	0	0
v_putt_H04	putt	v	a	0.6823079586029053	2	0
i_bik_H04	bik	i	i	1.6035821437835693	0	0
v_cup_F04	cup	v	v	1.587216854095459	0	0
I_leak_F05	leak	I	I	1.6627929210662842	0	0
i_lick_F08	lick	i	i	1.118811845779419	0	0
A_lark_F05	lark	A	v	0.9356839656829834	2	0
I_mean_H07	mean	I	I	1.8857002258300781	0	0
i_min_F06	min	i	i	1.1912429332733154	0	0
a_back_H09	back	a	a	1.1641709804534912	0	0
a_lack_H07	lack	a	a	1.1971988677978516	0	0
A_bark_F09	bark	A	A	1.4962210655212402	0	0
a_mat_F08	mat	a	a	1.2498281002044678	0	0
a_mat_H05	mat	a	a	0.8457579612731934	0	0
i_bin_F06	bin	i	i	1.2404348850250244	0	0
v_cup_H09	cup	v	v	1.1804728507995605	0	0
v_putt_F05	putt	v	a	1.2296719551086426	1	0
A_bark_F08	bark	A	A	1.7486457824707031	0	0
I_beak_H09	beak	I	I	1.2441842555999756	0	0
v_luck_H04	luck	v	v	1.1642570495605469	0	0
a_mat_F06	mat	a	a	1.0468840599060059	0	0
a_pat_H08	pat	a	v	1.3532872200012207	1	3
i_bik_F06	bik	i	I	0.46215105056762695	1	0

#TotalErreurs#9#TempsTotal#2min 6sec
