Mon Feb 15 11:21:12 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
a_ban_H04	ban	a	a	0.6018357276916504	0	2
A_tart_F07	tart	A	v	0.6127939224243164	1	0
a_tat_H04	tat	a	a	1.499229907989502	0	0
v_bun_F05	bun	v	a	0.9512789249420166	1	0
I_peak_H09	peak	I	I	1.884350061416626	0	0
v_cut_H09	cut	v	v	2.7275960445404053	0	0
v_tut_F09	tut	v	v	1.8318231105804443	0	0
I_deed_F05	deed	I	I	1.6504271030426025	0	0
i_did_F05	did	i	i	1.1158668994903564	0	0
v_tut_F04	tut	v	v	1.8593499660491943	0	0
a_cad_H09	cad	a	v	0.20024895668029785	3	0
i_did_H08	did	i	i	2.181816816329956	0	0
a_pack_F05	pack	a	a	1.5659358501434326	0	1
A_tart_H09	tart	A	v	0.7120077610015869	1	0
i_sick_F08	sick	i	i	2.2971608638763428	0	0
a_pack_H06	pack	a	a	2.031219959259033	0	0
v_bun_F04	bun	v	v	0.673612117767334	0	1
A_barn_H09	barn	A	v	1.3474712371826172	1	0
A_tart_F09	tart	A	v	0.9348211288452148	1	0
v_cud_F04	cud	v	v	1.9481830596923828	0	1
v_cut_F05	cut	v	v	1.146090030670166	0	0
a_pack_F08	pack	a	a	1.463649034500122	0	0
I_teak_F07	teak	I	I	1.9783129692077637	0	0
i_sick_H08	sick	i	i	2.187459945678711	0	0
i_pick_F06	pick	i	i	1.6140141487121582	0	0
I_keep_H07	keep	I	I	1.8889048099517822	0	0
i_tick_F08	tick	i	I	0.9594440460205078	1	0
i_pick_F09	pick	i	i	2.743377208709717	0	0
a_cad_H08	cad	a	A	1.401932954788208	2	1
v_puck_F05	puck	v	A	1.4358131885528564	1	1

#TotalErreurs#12#TempsTotal#2min 26sec
