Thu Apr 01 13:29:33 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
a_pack_H08	pack	a	i	5.198191165924072	2	0
A_cart_F05	cart	A	A	2.8338589668273926	0	0
a_pack_F09	pack	a	a	2.7700448036193848	0	0
A_tart_H04	tart	A	A	21.13162612915039	0	0
I_seek_H04	seek	I	I	3.4386448860168457	0	0
A_cart_H05	cart	A	v	2.4972591400146484	1	0
a_cad_F06	cad	a	a	1.8542442321777344	0	0
A_park_H08	park	A	A	15.752827882766724	0	0
i_sick_H06	sick	i	i	7.737653017044067	0	0
i_kip_F06	kip	i	I	1.009878158569336	1	0
a_tat_F09	tat	a	a	14.150762796401978	0	0
i_tick_H05	tick	i	i	7.706698894500732	0	0
v_cud_F06	cud	v	v	3.0403079986572266	0	0
i_tick_F06	tick	i	i	2.679086923599243	0	0
i_tick_H04	tick	i	i	2.8315670490264893	0	0
v_bun_H05	bun	v	v	13.487083911895752	0	0
I_keep_H06	keep	I	I	3.930393934249878	0	0
v_cut_H07	cut	v	v	3.2823269367218018	0	0
A_barn_H04	barn	A	A	9.41220498085022	0	0
i_sick_H07	sick	i	i	11.647638082504272	0	0
I_deed_H04	deed	I	I	9.441341161727905	0	0
i_tick_H07	tick	i	i	6.252920150756836	0	0
a_pack_F06	pack	a	a	2.285597801208496	0	0
v_tut_F05	tut	v	v	1.7177519798278809	0	0
i_pick_F09	pick	i	i	1.393568992614746	0	0
A_cart_H04	cart	A	v	3.9745309352874756	1	0
I_teak_H09	teak	I	I	6.115617990493774	0	0
A_park_H09	park	A	A	8.977334976196289	0	0
a_cad_F07	cad	a	a	5.6752610206604	0	0
i_did_F05	did	i	a	2.1487269401550293	1	0

#TotalErreurs#6#TempsTotal#4min 17sec
