#Mon Feb 08 13:44:35 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_luck_F09-v_luck_F06	1	1	1	1.5823769569396973	0	0
v_cut_H05-v_cut_H07	1	1	1	0.5682790279388428	0	2
A_barn_H08-A_barn_H05	1	2	0	0.4898409843444824	1	0
v_cup_H05-v_cup_H08	1	1	1	0.16405391693115234	0	1
v_buck_F08-A_bark_F07	2	2	1	1.103529930114746	0	1
A_barn_F08-A_barn_F05	1	2	0	5.481688737869263	1	1
A_park_H08-A_park_H09	1	2	0	1.5909688472747803	1	2
v_putt_F09-v_putt_F08	1	1	1	0.30013418197631836	0	0
A_part_H09-v_putt_H04	2	2	1	0.4944448471069336	0	1
v_cud_F06-A_card_F05	2	2	1	0.889307975769043	0	1
v_puck_F04-A_park_F07	2	2	1	0.1492328643798828	0	2
A_tart_H07-v_tut_H04	2	2	1	0.18123507499694824	0	2
v_tut_H05-v_tut_H08	1	1	1	0.5817642211914062	0	0
A_lark_F07-v_luck_F08	2	1	0	0.5375912189483643	1	2
A_cart_H04-A_cart_H05	1	1	1	0.3519449234008789	0	1
A_card_H07-v_cud_H09	2	2	1	2.5328519344329834	0	2
A_mart_H05-v_mutt_H07	2	2	1	0.4823479652404785	0	3
A_tart_F05-v_tut_F04	2	1	0	0.5660037994384766	1	1
v_putt_H09-v_putt_H08	1	1	1	0.7380990982055664	0	2
A_mart_H07-v_mutt_H09	2	2	1	0.19082212448120117	0	1
A_tart_H04-A_tart_H08	1	1	1	1.2638399600982666	0	3
v_tut_H09-v_tut_H07	1	2	0	1.2327039241790771	1	3
v_tut_H08-A_tart_H05	2	2	1	1.8700218200683594	0	3
A_carp_F09-v_cup_F08	2	1	0	0.38877010345458984	1	3
v_tut_F05-v_tut_F08	1	1	1	0.22689294815063477	0	2
v_puck_F06-A_park_F08	2	2	1	0.16265273094177246	0	1
A_card_H06-A_card_H07	1	1	1	0.7865171432495117	0	0
v_cud_F04-A_card_F07	2	2	1	1.034808874130249	0	0
A_part_F07-v_putt_F04	2	2	1	0.4686591625213623	0	1
A_mart_H09-v_mutt_H05	2	2	1	0.6996490955352783	0	1

#TotalErreurs#7#TempsTotal#10min 33sec
