#Mon Apr 05 10:02:53 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
i_lick_F09-i_lick_F08	1	1	1	0.7454321384429932	0	0
i_did_F08-I_deed_F05	2	2	1	0.3000011444091797	0	0
I_beak_F09-i_bik_F04	2	1	0	1.3664917945861816	1	0
i_tick_F07-i_tick_F06	1	1	1	0.6185758113861084	0	0
i_tick_H05-i_tick_H08	1	1	1	0.7225191593170166	0	0
i_did_F05-i_did_F07	1	1	1	0.22289419174194336	0	0
i_kip_F07-i_kip_F08	1	1	1	0.17747187614440918	0	0
I_peak_F05-i_pick_F06	2	2	1	0.2187480926513672	0	0
I_mean_F04-I_mean_F09	1	1	1	0.7960250377655029	0	0
i_lick_H07-i_lick_H08	1	2	0	0.240952730178833	1	0
i_pick_H06-I_peak_H07	2	1	0	0.980478048324585	1	0
i_kip_H08-I_keep_H04	2	2	1	0.2523350715637207	0	1
i_pick_F09-i_pick_F07	1	1	1	0.999575138092041	0	0
i_sick_F07-i_sick_F08	1	2	0	0.8887858390808105	1	0
i_min_F08-I_mean_F07	2	1	0	0.3154301643371582	1	0
I_beak_F08-I_beak_F09	1	1	1	0.4395918846130371	0	0
i_kip_H06-I_keep_H05	2	1	0	0.7627780437469482	1	0
I_mean_F07-i_min_F04	2	2	1	1.6619057655334473	0	0
i_bin_F04-I_bean_F05	2	2	1	0.25069475173950195	0	1
i_tick_F09-i_tick_F07	1	1	1	0.46704983711242676	0	0
i_chip_F06-I_chip_F05	2	1	0	0.22572898864746094	1	3
i_lick_H04-I_leak_H07	2	2	1	0.1526782512664795	0	2
i_lick_H09-i_lick_H08	1	1	1	0.7171061038970947	0	1
i_bik_H09-i_bik_H08	1	1	1	0.46364712715148926	0	0
i_did_F07-i_did_F04	1	1	1	0.4360640048980713	0	0
i_min_F07-i_min_F08	1	1	1	0.7824759483337402	0	0
I_leak_F09-i_lick_F08	2	1	0	0.1654682159423828	1	0
I_cheap_F07-i_cheap_F06	2	1	0	1.778244972229004	1	0
i_pick_F06-I_peak_F07	2	2	1	1.6882691383361816	0	0
i_bik_F06-I_beak_F07	2	1	0	0.13176822662353516	1	0

#TotalErreurs#10#TempsTotal#3min 14sec
