#Thu Apr 01 13:11:32 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_mean_H09-i_min_H07	2	2	1	0.8137726783752441	0	0
i_min_F07-i_min_F08	1	1	1	0.25630903244018555	0	0
i_tick_F05-i_tick_F08	1	1	1	0.3136942386627197	0	0
I_bean_H07-i_bin_H08	2	2	1	1.1822988986968994	0	0
i_did_H04-I_deed_H09	2	2	1	1.0137479305267334	0	0
i_bin_H08-I_bean_H09	2	2	1	0.04215574264526367	0	0
i_lick_F07-i_lick_F08	1	1	1	0.8401880264282227	0	0
I_bean_F04-I_bean_F09	1	2	0	0.18472599983215332	1	0
I_keep_F05-i_kip_F04	2	2	1	0.4799642562866211	0	0
i_chip_H09-i_cheap_H06	1	1	1	1.0071210861206055	0	0
i_kip_H05-i_kip_H04	1	1	1	0.5166630744934082	0	0
I_peak_H07-i_pick_H09	2	2	1	0.4049358367919922	0	0
i_chip_H05-i_cheap_H08	1	2	0	0.8672699928283691	1	0
I_deed_F04-I_deed_F05	1	2	0	0.03609323501586914	1	0
i_bik_H08-I_beak_H04	2	1	0	0.07178902626037598	1	0
I_leak_H06-I_leak_H05	1	1	1	0.4570939540863037	0	0
i_min_H09-i_min_H04	1	1	1	0.5097799301147461	0	0
I_deed_F08-I_deed_F05	1	1	1	0.3313610553741455	0	0
i_tick_H08-I_teak_H05	2	1	0	0.9242990016937256	1	0
I_cheap_F08-I_chip_F07	1	2	0	3.332850933074951	1	0
i_min_F08-I_mean_F07	2	2	1	0.29373812675476074	0	0
i_kip_H09-i_kip_H06	1	1	1	0.13928985595703125	0	0
i_tick_F04-I_teak_F07	2	2	1	0.2430119514465332	0	0
i_bin_H04-I_bean_H05	2	1	0	0.1582789421081543	1	0
I_deed_F09-i_did_F07	2	2	1	0.2987511157989502	0	0
i_did_F09-i_did_F04	1	2	0	0.3377699851989746	1	1
I_keep_H04-I_keep_H08	1	2	0	1.2981953620910645	1	0
i_min_H08-I_mean_H07	2	2	1	0.6108150482177734	0	0
I_mean_F05-i_min_F08	2	2	1	2.1770787239074707	0	0
i_lick_H05-i_lick_H06	1	1	1	1.7859320640563965	0	0

#TotalErreurs#9#TempsTotal#2min 32sec
