#Mon Feb 22 18:38:13 2021#Liste2AFC_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_deed_F06	deed	I	1.5480148792266846	0	0
i_did_F05	did	i	1.489292860031128	0	0
I_leak_H08	leak	I	1.7057452201843262	0	0
i_lick_F06	lick	i	1.4466028213500977	0	0
I_keep_H08	keep	I	1.5592031478881836	0	0
i_bin_F05	bin	i	1.2045538425445557	0	0
i_lick_H06	lick	i	1.240494966506958	1	0
I_seek_H08	seek	I	1.973402738571167	0	0
i_did_H06	did	i	1.6086111068725586	0	0
I_leak_H07	leak	I	1.6165330410003662	0	0
i_chip_F05	chip	i	2.319831132888794	0	0
I_beak_H06	beak	I	1.109503984451294	1	0
i_kip_H09	kip	i	1.6873059272766113	0	0
I_keep_F04	keep	I	2.1949896812438965	0	0
i_min_F06	min	i	1.7276849746704102	1	0
I_seek_F08	seek	I	1.83192777633667	0	0
I_seek_F04	seek	I	2.1720468997955322	0	0
I_mean_H07	mean	I	1.2055408954620361	0	0
I_cheap_H08	cheap	I	1.4465007781982422	1	0
i_bik_H08	bik	i	1.6605329513549805	0	0
I_leak_F04	leak	I	1.3746211528778076	0	0
I_peak_F05	peak	I	1.8909330368041992	0	0
I_keep_F08	keep	I	1.1524488925933838	0	0
I_leak_F07	leak	I	1.1843891143798828	0	0
I_peak_F08	peak	I	1.0712149143218994	0	0
i_lick_F05	lick	i	1.408869981765747	1	0
I_keep_F07	keep	I	1.3418848514556885	0	0
I_deed_F09	deed	I	1.0131871700286865	0	0
i_bik_F07	bik	i	1.455636978149414	0	0
I_leak_F05	leak	I	1.2121460437774658	0	0

#TotalErreurs#5TempsTotal#1min 55sec
