#Mon Feb 22 18:31:18 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
i_sick_H06-I_seek_H05	2	2	1	0.5721008777618408	0	0
I_seek_H09-i_sick_H05	2	2	1	0.6686511039733887	0	0
i_bin_F08-I_bean_F09	2	2	1	0.23785781860351562	0	0
i_chip_H05-i_cheap_H08	1	2	0	0.3214101791381836	1	0
I_peak_F07-i_pick_F09	2	1	0	1.112558126449585	1	0
i_lick_H05-i_lick_H06	1	2	0	1.7625229358673096	1	0
I_cheap_H08-I_chip_H07	1	2	0	0.5176568031311035	1	0
i_min_F06-I_mean_F08	2	2	1	0.31048083305358887	0	1
i_chip_H07-i_cheap_H04	1	2	0	0.6882889270782471	1	1
I_beak_F07-i_bik_F04	2	2	1	1.7438290119171143	0	0
I_deed_F07-i_did_F05	2	1	0	0.34815216064453125	1	0
i_tick_F08-I_teak_F05	2	2	1	0.06264090538024902	0	0
i_lick_F07-i_lick_F08	1	2	0	0.3298640251159668	1	0
I_beak_F04-I_beak_F09	1	2	0	0.41438984870910645	1	0
I_leak_H04-I_leak_H06	1	1	1	0.28186702728271484	0	0
I_deed_F05-i_did_F04	2	2	1	0.9481589794158936	0	0
I_bean_F08-I_bean_F09	1	2	0	0.41712403297424316	1	0
I_keep_F08-I_keep_F06	1	1	1	0.053520917892456055	0	0
I_mean_F08-I_mean_F06	1	1	1	0.6244432926177979	0	0
I_keep_F06-I_keep_F07	1	1	1	0.5721909999847412	0	0
I_peak_F09-i_pick_F05	2	1	0	0.5157523155212402	1	0
i_bik_F09-i_bik_F08	1	1	1	0.9332222938537598	0	0
I_leak_F09-i_lick_F08	2	2	1	0.6013071537017822	0	0
I_bean_H06-I_bean_H05	1	1	1	0.7366890907287598	0	0
I_teak_F07-i_tick_F04	2	2	1	0.774904727935791	0	0
I_beak_H04-I_beak_H09	1	1	1	0.5742359161376953	0	0
I_mean_H07-i_min_H04	2	1	0	0.5103929042816162	1	0
i_min_H05-i_min_H09	1	1	1	0.8093709945678711	0	0
I_teak_H08-I_teak_H04	1	1	1	0.8913509845733643	0	0
i_tick_F09-i_tick_F07	1	1	1	0.14404988288879395	0	0

#TotalErreurs#11#TempsTotal#2min 39sec
