#Tue Mar 02 14:33:02 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_cud_H04-a_cad_H07	2	2	1	0.33036017417907715	0	2
v_puck_H06-a_pack_H08	2	2	1	1.050936222076416	0	0
a_cap_F05-v_cup_F07	2	1	0	0.4271879196166992	1	1
a_cad_H04-a_cad_H08	1	1	1	0.2893190383911133	0	0
a_back_H04-a_back_H09	1	1	1	0.18459796905517578	0	0
a_cat_H06-a_cat_H09	1	1	1	0.2151961326599121	0	0
v_buck_F05-v_buck_F09	1	2	0	0.4301769733428955	1	1
v_buck_H05-v_buck_H09	1	1	1	0.46981096267700195	0	0
a_ban_F05-v_bun_F06	2	2	1	0.4711270332336426	0	0
v_luck_F07-v_luck_F09	1	1	1	0.4464118480682373	0	0
a_cad_H07-v_cud_H09	2	2	1	0.7858588695526123	0	0
a_cat_F05-v_cut_F04	2	2	1	0.644780158996582	0	0
a_mat_F04-a_mat_F05	1	1	1	0.6011922359466553	0	0
a_ban_H07-v_bun_H09	2	2	1	0.20843791961669922	0	0
a_pat_H09-v_putt_H04	2	2	1	1.7106168270111084	0	0
v_puck_F05-v_puck_F06	1	1	1	0.34117889404296875	0	0
v_tut_F08-a_tat_F05	2	2	1	1.02016282081604	0	0
v_puck_H04-a_pack_H07	2	2	1	0.5936529636383057	0	0
a_pat_H05-v_putt_H06	2	2	1	0.4193129539489746	0	0
v_bun_F08-a_ban_F06	2	2	1	0.30191612243652344	0	0
a_pat_F05-v_putt_F06	2	2	1	0.44055795669555664	0	0
v_cup_H09-v_cup_H06	1	1	1	0.8499929904937744	0	0
v_putt_H09-v_putt_H08	1	2	0	0.6175532341003418	1	0
v_cud_H09-v_cud_H06	1	1	1	1.2009050846099854	0	0
v_buck_H06-a_back_H08	2	2	1	0.33729982376098633	0	0
a_ban_H08-a_ban_H05	1	1	1	0.32319092750549316	0	0
v_putt_F09-v_putt_F08	1	1	1	0.3592569828033447	0	0
a_back_F04-a_back_F09	1	1	1	0.15926408767700195	0	0
a_pat_H04-a_pat_H09	1	1	1	0.5204911231994629	0	0
v_buck_F08-a_back_F07	2	2	1	0.33481287956237793	0	0

#TotalErreurs#3#TempsTotal#2min 4sec
