#Tue Jan 26 16:27:35 2021#Liste2AFC_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_pack_H04	pack	a	1.1704406539975025	0	4
v_buck_H04	buck	v	1.5083442140021361	0	1
a_cad_H04	cad	a	1.052314861000923	0	2
v_cup_F05	cup	v	1.2652137199984281	0	0
a_tat_F04	tat	a	1.4271929550013738	0	0
a_pat_F07	pat	a	1.7560633489993052	0	0
v_puck_F09	puck	v	1.3568027869987418	0	0
a_cat_H07	cat	a	1.2515727690006315	0	1
v_luck_H08	luck	v	1.488561470003333	0	0
v_tut_H04	tut	v	1.416319283998746	0	0
v_buck_H08	buck	v	2.676530279997678	0	0
a_back_H07	back	a	1.7322321719984757	0	0
a_cap_H09	cap	a	0.8954965800003265	1	0
v_bun_H09	bun	v	1.0059963159983454	0	2
a_tat_H06	tat	a	1.1442241900003864	1	1
a_cat_F04	cat	a	1.3901804179986357	0	0
v_tut_H06	tut	v	1.2648354699995252	1	0
v_luck_H06	luck	v	2.443395149002754	0	0
v_putt_H07	putt	v	1.2526097539994225	1	1
a_lack_F05	lack	a	1.792946491001203	0	0
v_luck_F04	luck	v	1.6061351169992122	0	0
a_tat_H08	tat	a	1.399061050000455	1	1
v_cup_H04	cup	v	1.4860330209994572	0	0
a_tat_H04	tat	a	2.8340706509989104	0	0
a_lack_H09	lack	a	1.5805032949974702	0	0
a_pack_H06	pack	a	1.029130194998288	1	0
a_mat_F07	mat	a	1.6075124769995455	0	0
a_pack_F05	pack	a	1.7052045659984287	0	0
v_cup_F09	cup	v	1.2840476029996353	0	0
a_pack_F09	pack	a	1.3292281110007025	0	0

#TotalErreurs#6TempsTotal#2min 43sec
