#Thu Feb  4 14:28:48 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_pat_F08-a_pat_F09	1	2	0	0.0473258199999691	1	1
v_cut_F07-v_cut_F04	1	1	1	0.2315905899995414	0	1
v_putt_H05-v_putt_H06	1	1	1	0.08588803999919037	0	2
a_mat_F06-a_mat_F05	1	1	1	0.044566259000930586	0	3
a_pack_H07-v_puck_H04	2	1	0	0.04652274399995804	1	3
v_mutt_H06-a_mat_H05	2	1	0	0.2879859540007601	1	1
v_cud_H06-a_cad_H05	2	1	0	0.046426773000348476	1	4
a_cap_H04-a_cap_H05	1	2	0	0.0687695859996893	1	1
v_cut_F04-a_cat_F09	2	1	0	0.19365736200052197	1	1
a_mat_H04-a_mat_H05	1	1	1	0.32255103699935717	0	1
v_cud_F08-a_cad_F04	2	2	1	0.5019528949997039	0	1
a_lack_F08-a_lack_F09	1	1	1	0.04617329899883771	0	2
v_cut_H07-v_cut_H04	1	2	0	0.30798240500007523	1	2
a_cat_H07-v_cut_H05	2	2	1	0.30023192899898277	0	2
v_cup_F09-v_cup_F06	1	1	1	0.20044845799930044	0	1
v_mutt_F05-v_mutt_F04	1	2	0	0.055936087999725714	1	1
a_back_F06-a_back_F04	1	1	1	0.04974892800055386	0	1
a_cap_F08-a_cap_F07	1	1	1	0.35121930499917653	0	1
v_mutt_F08-a_mat_F09	2	2	1	0.07216443700053787	0	2
a_lack_H05-v_luck_H06	2	1	0	0.29493334899962065	1	2
a_back_H09-v_buck_H07	2	1	0	0.4777724900013709	1	2
v_putt_F05-v_putt_F06	1	1	1	0.050264307001270936	0	1
v_putt_H04-a_pat_H06	2	1	0	0.27380470400021295	1	1
v_putt_H08-a_pat_H04	2	2	1	0.8178235909999785	0	0
v_mutt_F07-v_mutt_F08	1	2	0	0.04713698699924862	1	2
a_lack_F09-v_luck_F06	2	2	1	0.04940204599915887	0	2
v_tut_H07-v_tut_H06	1	1	1	0.4440335459985363	0	1
a_mat_F09-v_mutt_F05	2	2	1	0.6903985850003664	0	0
a_cap_F07-v_cup_F06	2	2	1	1.0508679329996085	0	0
v_cup_H07-v_cup_H04	1	1	1	0.3526011969988758	0	0

#TotalErreurs#12#TempsTotal#4min 46sec
