Mon Mar 22 15:36:04 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
v_mutt_F04	mutt	v	v	1.2143873759778216	0	1
i_min_H08	min	i	i	2.0351418220670894	0	1
i_lick_H07	lick	i	i	1.6357573489658535	0	0
A_bark_F04	bark	A	A	1.7698397189378738	0	0
v_buck_H06	buck	v	v	2.399133882019669	0	0
a_lack_H09	lack	a	a	1.5073182539781556	0	0
v_luck_H04	luck	v	v	1.4110023300163448	0	1
v_cup_H08	cup	v	v	1.0053602990228683	0	0
I_cheap_H09	cheap	I	I	3.598749842029065	0	0
i_bik_H04	bik	i	i	1.2239982018945739	0	0
a_pat_F07	pat	a	a	1.160257991985418	0	0
v_buck_F06	buck	v	v	3.0234717490384355	0	0
I_bean_H09	bean	I	I	1.5242221780354157	0	0
v_mutt_H09	mutt	v	v	1.1769209409831092	0	0
i_min_F08	min	i	i	1.1679581491043791	0	0
I_beak_H09	beak	I	I	2.1207422129809856	0	0
i_bik_F06	bik	i	i	1.3112071349751204	0	0
a_lack_H08	lack	a	a	1.7698008560109884	0	1
A_carp_H04	carp	A	A	1.1790564979892224	0	0
A_mart_H08	mart	A	A	1.481751975021325	0	0
I_cheap_F05	cheap	I	I	1.5123527600662783	0	0
i_bin_H05	bin	i	I	0.922270638984628	1	0
i_bik_H06	bik	i	i	1.1592727060196921	0	1
I_cheap_F06	cheap	I	I	1.1107415560400113	0	0
a_lack_F09	lack	a	a	1.1857364969328046	0	0
a_cap_F04	cap	a	a	1.757040372933261	0	0
a_mat_H05	mat	a	a	1.1503831419395283	0	0
a_back_F09	back	a	a	1.2739557139575481	0	0
a_pat_H06	pat	a	a	1.506893364014104	0	0
i_bik_F07	bik	i	i	1.4984643169445917	0	0

#TotalErreurs#1#TempsTotal#1min 47sec
