#Thu Apr 15 14:54:14 2021#Liste2AFC_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_pat_F08	pat	a	1.66261887550354	0	0
a_cad_F06	cad	a	1.3627521991729736	0	0
a_pack_F09	pack	a	1.6494553089141846	0	0
a_mat_H04	mat	a	0.9455900192260742	0	0
a_mat_H08	mat	a	1.2102560997009277	0	0
a_back_F05	back	a	0.819195032119751	0	0
v_cud_H08	cud	v	1.9672598838806152	0	0
v_cup_H07	cup	v	1.0934169292449951	1	0
a_back_H09	back	a	1.373784065246582	0	0
a_ban_H08	ban	a	1.46026611328125	0	0
v_cup_F06	cup	v	0.0597691535949707	1	0
a_tat_F05	tat	a	1.6710689067840576	0	0
a_pat_H06	pat	a	1.5941572189331055	0	0
a_cad_H07	cad	a	1.1489019393920898	1	0
a_pack_F05	pack	a	1.5123648643493652	0	0
v_cud_F09	cud	v	1.4202947616577148	0	0
v_cud_F06	cud	v	1.3029348850250244	0	0
v_bun_H04	bun	v	1.226501226425171	0	0
a_tat_H05	tat	a	1.582827091217041	1	0
a_cat_H05	cat	a	1.363053798675537	0	0
a_back_F04	back	a	1.8516137599945068	0	0
v_cut_F08	cut	v	1.4744319915771484	1	0
v_cup_F07	cup	v	1.131969928741455	0	0
a_back_H04	back	a	1.6481149196624756	0	0
v_puck_H06	puck	v	1.4297080039978027	0	0
v_tut_H08	tut	v	2.004999876022339	0	0
v_putt_H04	putt	v	1.7219419479370117	0	0
a_tat_F08	tat	a	1.0183501243591309	1	0
a_cap_H04	cap	a	2.047257900238037	0	0
v_buck_H06	buck	v	1.324862003326416	0	0

#TotalErreurs#6TempsTotal#1min 48sec
