#Thu Apr 22 10:48:22 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_lark_F06-A_lark_F05	1	2	0	0.19011187553405762	1	0
A_card_H05-v_cud_H04	2	2	1	0.28235578536987305	0	1
A_barn_H05-v_bun_H06	2	2	1	0.5709807872772217	0	0
A_bark_H07-v_buck_H04	2	2	1	0.11850881576538086	0	0
v_bun_F09-v_bun_F07	1	1	1	0.9184281826019287	0	0
A_mart_F07-v_mutt_F09	2	1	0	0.6948661804199219	1	0
A_card_F06-A_card_F07	1	1	1	0.5259408950805664	0	0
v_bun_F08-A_barn_F06	2	2	1	0.34853506088256836	0	1
v_puck_H05-v_puck_H06	1	1	1	0.39617490768432617	0	0
v_puck_H04-A_park_H07	2	2	1	0.19973492622375488	0	0
v_luck_H04-A_lark_H05	2	2	1	0.5016992092132568	0	0
A_card_H04-A_card_H08	1	2	0	0.25220394134521484	1	0
v_cup_F06-A_carp_F05	2	2	1	0.9920761585235596	0	0
A_lark_H05-v_luck_H06	2	1	0	2.186908721923828	1	0
v_luck_H07-v_luck_H09	1	2	0	0.04735422134399414	1	1
v_putt_F09-v_putt_F08	1	1	1	0.5540590286254883	0	0
A_bark_H04-A_bark_H09	1	1	1	0.038308143615722656	0	0
A_lark_F09-v_luck_F06	2	2	1	0.3798210620880127	0	0
A_bark_F07-v_buck_F04	2	1	0	1.4843659400939941	1	0
A_tart_H06-A_tart_H08	1	1	1	0.3778879642486572	0	0
A_park_F08-A_park_F09	1	1	1	0.403609037399292	0	0
A_cart_H08-A_cart_H05	1	1	1	0.972017765045166	0	0
A_tart_F09-v_tut_F05	2	2	1	0.33228111267089844	0	0
v_luck_H09-v_luck_H06	1	1	1	0.6174771785736084	0	0
v_putt_H06-A_part_H07	2	1	0	0.30025196075439453	1	0
A_carp_H04-A_carp_H05	1	1	1	0.9295101165771484	0	0
v_cup_H09-v_cup_H06	1	1	1	0.23239898681640625	0	0
A_part_F08-A_part_F09	1	1	1	0.10329389572143555	0	0
v_puck_F09-v_puck_F08	1	2	0	0.30780506134033203	1	0
v_cud_H08-A_card_H04	2	1	0	0.5858571529388428	1	0

#TotalErreurs#9#TempsTotal#4min 21sec
