#Mon May 03 07:57:41 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_keep_F05-i_kip_F04	2	2	1	4.640472888946533	0	0
i_kip_H08-I_keep_H04	2	2	1	3.2375590801239014	0	0
i_pick_F08-I_peak_F06	2	2	1	1.2283568382263184	0	0
I_mean_F04-I_mean_F09	1	1	1	0.4917290210723877	0	1
i_bin_F05-i_bin_F04	1	1	1	1.2254807949066162	0	0
i_bik_F05-i_bik_F06	1	1	1	1.2723090648651123	0	0
i_tick_F08-I_teak_F05	2	2	1	0.5459067821502686	0	0
I_seek_H05-i_sick_H07	2	2	1	2.342345952987671	0	0
I_peak_H05-i_pick_H06	2	2	1	0.6028931140899658	0	0
i_did_H05-i_did_H07	1	1	1	0.9174010753631592	0	0
i_tick_H04-I_teak_H07	2	2	1	0.33441901206970215	0	0
I_teak_H08-I_teak_H04	1	1	1	0.7434282302856445	0	0
i_lick_F06-I_leak_F08	2	2	1	0.635080099105835	0	0
i_min_F05-i_min_F09	1	2	0	0.4251079559326172	1	1
i_sick_H08-I_seek_H09	2	2	1	0.4734330177307129	0	1
I_keep_H05-i_kip_H04	2	2	1	0.5391538143157959	0	0
I_leak_F04-I_leak_F06	1	1	1	0.5902502536773682	0	0
I_beak_F08-I_beak_F09	1	1	1	0.4432549476623535	0	0
i_kip_F05-i_kip_F04	1	1	1	0.7420179843902588	0	0
I_cheap_F08-I_chip_F07	1	1	1	1.4364469051361084	0	0
I_bean_H06-I_bean_H05	1	1	1	3.498090982437134	0	0
i_bin_H07-i_bin_H09	1	1	1	0.5462000370025635	0	0
I_keep_H08-I_keep_H06	1	1	1	0.543388843536377	0	0
i_pick_F09-i_pick_F07	1	1	1	0.4174160957336426	0	0
I_cheap_H06-I_chip_H07	1	1	1	16.523601055145264	0	0
I_beak_F04-I_beak_F09	1	1	1	2.2325029373168945	0	0
i_bik_F04-I_beak_F06	2	2	1	2.702543258666992	0	0
I_keep_F04-I_keep_F08	1	1	1	0.8352489471435547	0	0
i_did_F04-I_deed_F09	2	2	1	0.45328187942504883	0	0
I_beak_F09-i_bik_F04	2	2	1	0.9198269844055176	0	0

#TotalErreurs#1#TempsTotal#2min 36sec
