#Thu Mar 11 11:27:19 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
i_bin_F04-I_bean_F05	2	2	1	1.2986087799072266	0	0
I_seek_F09-i_sick_F05	2	2	1	1.8946123123168945	0	0
I_cheap_H08-I_chip_H07	1	2	0	1.181225061416626	1	0
i_chip_F05-i_cheap_F08	1	2	0	0.22523903846740723	1	1
I_beak_F05-i_bik_F06	2	2	1	0.43347907066345215	0	1
i_kip_F08-I_keep_F04	2	2	1	0.8233039379119873	0	0
I_beak_F09-i_bik_F04	2	2	1	0.41889095306396484	0	0
i_pick_F05-i_pick_F08	1	1	1	1.1975669860839844	0	0
I_cheap_F08-I_chip_F07	1	2	0	0.27454495429992676	1	0
I_leak_F09-i_lick_F08	2	2	1	0.7734708786010742	0	0
I_bean_F07-i_bin_F08	2	2	1	1.581263780593872	0	0
I_peak_F04-I_peak_F07	1	1	1	0.6227939128875732	0	1
I_deed_F05-i_did_F04	2	2	1	0.5421559810638428	0	0
I_bean_F05-i_bin_F06	2	2	1	0.10772705078125	0	0
I_deed_H04-I_deed_H05	1	1	1	1.0498852729797363	0	0
i_min_F06-I_mean_F08	2	2	1	0.5558822154998779	0	0
I_cheap_H05-i_cheap_H07	2	2	1	3.2022690773010254	0	1
i_bik_F09-i_bik_F08	1	1	1	2.9579899311065674	0	0
i_lick_F06-I_leak_F08	2	2	1	0.6729092597961426	0	1
i_kip_H08-I_keep_H04	2	2	1	1.2224152088165283	0	1
I_leak_F04-I_leak_F06	1	1	1	2.752847909927368	0	0
I_bean_H09-i_bin_H06	2	2	1	0.7775869369506836	0	0
i_tick_H08-I_teak_H05	2	2	1	1.3888251781463623	0	2
i_lick_H08-I_leak_H07	2	2	1	0.5355751514434814	0	0
i_lick_H09-i_lick_H08	1	2	0	0.5013477802276611	1	0
i_tick_F05-i_tick_F08	1	2	0	0.3845548629760742	1	0
i_did_H04-I_deed_H09	2	2	1	0.35983896255493164	0	1
I_cheap_H06-I_chip_H07	1	2	0	0.23002886772155762	1	0
I_teak_F05-i_tick_F04	2	2	1	1.3097038269042969	0	0
I_seek_H07-i_sick_H09	2	2	1	0.3852381706237793	0	0

#TotalErreurs#6#TempsTotal#3min 11sec
