#Wed Feb  3 14:33:48 2021#Liste2AFC_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_lack_H09	lack	a	2.3142313140269835	0	1
v_bun_H05	bun	v	2.9868859970010817	0	0
v_mutt_F04	mutt	v	1.670742310991045	0	0
a_pat_F09	pat	a	1.3321168700058479	0	0
v_mutt_H04	mutt	v	1.4785927760240156	0	0
a_back_F04	back	a	1.3991074780060444	0	0
a_ban_F08	ban	a	1.0748980470234528	1	0
a_back_F07	back	a	1.538911981973797	0	0
a_pat_H07	pat	a	1.4640757789893541	0	0
a_back_H04	back	a	2.272829121997347	0	0
a_cad_F04	cad	a	2.789771429001121	0	0
v_cup_F06	cup	v	1.6207181670179125	0	0
v_luck_H08	luck	v	1.3386012769769877	0	1
a_back_H09	back	a	1.473020634992281	0	0
a_lack_H04	lack	a	2.54437403898919	0	0
v_putt_F08	putt	v	2.238330576015869	0	0
a_pack_H04	pack	a	1.8076100920152385	0	0
v_puck_H05	puck	v	0.5212552210141439	1	0
v_putt_H05	putt	v	1.5525039790081792	0	0
a_ban_H06	ban	a	1.5863050399930216	0	0
v_puck_H09	puck	v	0.3419209290004801	1	0
v_puck_F05	puck	v	0.762101777974749	1	0
v_mutt_F09	mutt	v	2.062633569003083	0	0
a_pack_H05	pack	a	1.3469172400073148	0	0
v_putt_H07	putt	v	1.1452651500003412	0	0
v_puck_H07	puck	v	1.7197620059887413	0	0
a_ban_F04	ban	a	1.453991396992933	0	0
a_cat_H07	cat	a	1.255530048016226	0	0
v_mutt_F05	mutt	v	1.2597844199917745	0	0
a_lack_H08	lack	a	2.8096714350103866	0	0

#TotalErreurs#4TempsTotal#1min 57sec
