#Fri Feb 12 19:53:46 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_tart_H09-v_tut_H05	2	2	1	1.6555181259973324	0	0
A_tart_F08-A_tart_F04	1	1	1	1.9181180329978815	0	0
v_mutt_H09-v_mutt_H06	1	1	1	1.3587702919976437	0	0
v_cup_H06-A_carp_H05	2	2	1	1.547004697000375	0	0
A_card_H08-A_card_H06	1	1	1	2.052624358002504	0	0
A_bark_H05-v_buck_H08	2	2	1	2.430559471002198	0	0
v_cup_F09-v_cup_F06	1	1	1	2.347240122995572	0	0
A_card_F05-v_cud_F04	2	2	1	1.7183546050000587	0	0
A_park_H04-A_park_H06	1	1	1	2.432433348003542	0	0
v_puck_F08-A_park_F07	2	2	1	3.904834828004823	0	0
v_buck_H09-v_buck_H04	1	1	1	1.6032049789937446	0	0
v_bun_H04-A_barn_H09	2	1	0	0.023584686001413502	1	0
A_barn_F05-v_bun_F06	2	2	1	1.8300176060001832	0	0
A_bark_F08-A_bark_F06	1	1	1	4.062364823999815	0	0
A_part_F09-v_putt_F04	2	2	1	1.5761596800002735	0	0
v_bun_F09-v_bun_F07	1	1	1	3.0216463929973543	0	0
v_luck_H06-A_lark_H04	2	2	1	2.481475191001664	0	0
A_bark_F06-A_bark_F04	1	1	1	2.2298888200020883	0	0
v_buck_F04-A_bark_F08	2	2	1	4.492634204005299	0	0
v_mutt_H06-A_mart_H05	2	2	1	2.9397237690063776	0	0
v_cut_F08-A_cart_F05	2	2	1	2.3205923120040097	0	0
A_lark_F04-A_lark_F09	1	1	1	1.7568936590032536	0	0
A_barn_F09-v_bun_F05	2	2	1	3.437625726000988	0	0
A_card_H04-A_card_H08	1	1	1	2.9089276759987115	0	0
A_cart_H08-A_cart_H05	1	1	1	1.649762863999058	0	0
A_cart_H05-v_cut_H04	2	2	1	1.9709024309995584	0	0
A_lark_F07-v_luck_F08	2	2	1	1.5586566719939583	0	0
v_putt_F09-v_putt_F08	1	1	1	2.1977281709987437	0	0
v_cup_F06-A_carp_F05	2	2	1	4.195528750002268	0	0
v_puck_H07-v_puck_H08	1	1	1	1.4781838810013141	0	0

#TotalErreurs#1#TempsTotal#2min 47sec
