Sun Feb 21 09:25:16 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
v_cud_F05	cud	v	v	5.93131853104569	0	0
i_pick_H06	pick	i	i	1.4529281099094078	0	0
a_ban_H08	ban	a	a	1.2861028700135648	0	0
a_cat_H06	cat	a	a	0.8214175730245188	0	0
i_pick_F04	pick	i	i	1.57735280203633	0	0
v_bun_F09	bun	v	v	1.1380925760604441	0	0
v_tut_H09	tut	v	v	0.8340515749296173	0	0
i_sick_H07	sick	i	i	1.2458936440525576	0	0
I_deed_H05	deed	I	I	1.1318532340228558	0	0
A_card_F07	card	A	A	1.1081172080012038	0	0
A_cart_H09	cart	A	A	0.7673395129386336	0	0
a_ban_F04	ban	a	a	1.1119646650040522	0	0
a_ban_H04	ban	a	a	0.7576529830694199	0	0
A_card_H07	card	A	A	1.230318674002774	0	0
a_cat_H05	cat	a	a	1.1435548649169505	0	0
v_puck_F06	puck	v	v	1.0185957240173593	0	0
v_bun_H08	bun	v	v	0.8200739449821413	0	0
a_tat_F04	tat	a	a	1.444120571948588	0	0
v_bun_F06	bun	v	v	0.9938280590577051	0	0
I_peak_H07	peak	I	I	1.0386098809540272	0	0
a_pack_F09	pack	a	a	1.5941565029788762	0	0
I_teak_F05	teak	I	I	1.25708598701749	0	0
I_keep_H09	keep	I	I	0.665642759995535	0	0
I_peak_F07	peak	I	I	0.7645835130242631	0	0
v_cut_F06	cut	v	v	1.012372413999401	0	0
i_sick_H08	sick	i	i	1.4124193369643763	0	0
a_tat_F09	tat	a	a	1.0862296180566773	0	0
a_cad_F05	cad	a	a	1.756887495983392	0	0
i_did_H08	did	i	i	1.1032974240370095	0	0
v_cud_H06	cud	v	v	1.099187646061182	0	0

#TotalErreurs#0#TempsTotal#1min 26sec
