#Sun Feb 28 18:40:50 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_mutt_H06-a_mat_H05	2	2	1	4.4820358289871365	0	0
a_back_F09-v_buck_F07	2	2	1	0.8152714199386537	0	0
v_putt_H05-v_putt_H06	1	1	1	68.20710915420204	0	0
a_pat_H04-a_pat_H09	1	1	1	1.1448745429515839	0	0
v_luck_H06-a_lack_H04	2	2	1	1.2906848948914558	0	0
a_pack_F05-v_puck_F09	2	2	1	0.9197188469115645	0	0
a_tat_F06-a_tat_F08	1	1	1	1.160853445995599	0	0
a_mat_F06-a_mat_F05	1	1	1	0.9178294399753213	0	0
v_cut_H07-v_cut_H04	1	1	1	4.503997055115178	0	0
v_cup_F06-a_cap_F05	2	2	1	12.300637040054426	0	0
a_cat_H04-a_cat_H05	1	1	1	11.134597080992535	0	0
v_tut_H06-a_tat_H09	2	2	1	3.255439480068162	0	0
a_ban_H07-v_bun_H09	2	2	1	1.171907405136153	0	0
v_luck_F04-a_lack_F05	2	2	1	1.0721569180022925	0	0
v_putt_F06-a_pat_F07	2	2	1	2.0729065649211407	0	0
v_mutt_F08-a_mat_F09	2	2	1	0.9190323420334607	0	0
a_pat_F05-v_putt_F06	2	2	1	1.0061423720326275	0	0
a_cad_H05-v_cud_H04	2	2	1	1.9668379661161453	0	0
v_puck_F09-v_puck_F08	1	1	1	1.3464140170253813	0	0
v_puck_H04-a_pack_H07	2	2	1	1.4899043859913945	0	0
v_mutt_H07-v_mutt_H08	1	1	1	1.0743755348958075	0	0
a_tat_F09-v_tut_F05	2	2	1	1.6731333939824253	0	0
a_mat_F05-v_mutt_F07	2	2	1	2.805808386998251	0	0
a_ban_H08-a_ban_H05	1	1	1	1.3645457031670958	0	0
a_back_F05-v_buck_F08	2	2	1	2.687005186919123	0	0
a_cad_F04-a_cad_F08	1	1	1	1.4629523379262537	0	0
a_cap_H08-a_cap_H07	1	1	1	0.8389651889447123	0	0
a_cap_F04-a_cap_F05	1	1	1	2.9731078890617937	0	0
v_luck_F06-a_lack_F04	2	2	1	2.145825162064284	0	0
a_lack_F04-a_lack_F09	1	1	1	1.330626784125343	0	0

#TotalErreurs#0#TempsTotal#3min 51sec
