#Sun Mar 21 22:18:20 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_mean_F04-I_mean_F09	1	2	0	0.6460249423980713	1	1
I_keep_F05-i_kip_F04	2	2	1	2.766461133956909	0	0
i_did_H04-I_deed_H09	2	1	0	1.3164870738983154	1	0
I_cheap_F05-i_cheap_F07	2	1	0	3.238286018371582	1	0
I_leak_F05-i_lick_F09	2	1	0	3.5014920234680176	1	0
i_bik_F06-I_beak_F07	2	2	1	0.6530418395996094	0	0
I_peak_F09-i_pick_F05	2	1	0	0.6540460586547852	1	0
I_keep_H08-I_keep_H06	1	1	1	1.008702039718628	0	0
I_beak_H09-i_bik_H04	2	1	0	0.7031018733978271	1	0
i_tick_H05-i_tick_H08	1	1	1	1.658451795578003	0	0
i_chip_H05-i_cheap_H08	1	1	1	0.7193069458007812	0	0
i_pick_H09-i_pick_H07	1	1	1	0.404879093170166	0	0
I_seek_H05-i_sick_H07	2	1	0	0.5408201217651367	1	0
I_deed_H07-i_did_H05	2	2	1	1.3850760459899902	0	0
i_sick_F09-i_sick_F06	1	1	1	0.533038854598999	0	0
I_seek_F09-i_sick_F05	2	2	1	1.376641035079956	0	0
i_did_H05-i_did_H07	1	1	1	0.6008591651916504	0	0
i_bin_H04-I_bean_H05	2	2	1	1.395698070526123	0	0
I_bean_F07-i_bin_F08	2	1	0	1.3539576530456543	1	0
I_leak_F09-i_lick_F08	2	2	1	0.6342389583587646	0	0
i_kip_H05-i_kip_H04	1	1	1	0.6569099426269531	0	0
I_beak_F09-i_bik_F04	2	1	0	0.8837301731109619	1	0
i_tick_H06-I_teak_H09	2	2	1	0.26865100860595703	0	0
i_bin_F06-I_bean_F04	2	2	1	2.525934934616089	0	0
i_sick_H07-i_sick_H08	1	2	0	0.7453691959381104	1	0
I_keep_H07-i_kip_H09	2	1	0	0.4301600456237793	1	0
i_lick_H08-I_leak_H07	2	2	1	0.3547780513763428	0	0
I_keep_H05-i_kip_H04	2	1	0	0.7319080829620361	1	0
I_bean_H06-I_bean_H05	1	2	0	0.3789811134338379	1	0
I_deed_H04-I_deed_H05	1	1	1	0.5505106449127197	0	0

#TotalErreurs#13#TempsTotal#3min 7sec
