#Sun Apr 04 23:11:35 2021#Liste2AFC_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_mart_F08	mart	A	3.234471082687378	0	0
A_tart_H06	tart	A	1.2929449081420898	0	0
A_park_F07	park	A	1.0386312007904053	0	0
v_putt_F06	putt	v	1.1912689208984375	0	0
v_buck_F07	buck	v	1.2532281875610352	0	0
v_tut_F07	tut	v	1.0997591018676758	0	0
v_cud_H06	cud	v	1.5019283294677734	0	0
v_putt_F05	putt	v	1.1939959526062012	0	0
A_barn_H04	barn	A	1.7524642944335938	0	0
v_buck_F06	buck	v	1.3449041843414307	0	0
A_tart_H09	tart	A	1.4514589309692383	0	0
A_carp_H05	carp	A	1.3326761722564697	0	0
v_tut_F08	tut	v	1.292870044708252	0	0
v_puck_F05	puck	v	1.2103931903839111	0	0
A_card_F06	card	A	1.1109859943389893	0	0
A_barn_H06	barn	A	1.1930170059204102	0	0
A_tart_F05	tart	A	1.4875009059906006	0	0
v_puck_H08	puck	v	1.201160192489624	0	0
v_putt_H06	putt	v	1.1279520988464355	0	0
v_mutt_F07	mutt	v	1.7368237972259521	0	0
A_bark_F06	bark	A	1.1512689590454102	0	0
A_park_H08	park	A	1.2153668403625488	0	0
A_part_F05	part	A	1.0851800441741943	0	0
v_tut_H08	tut	v	0.9766180515289307	0	0
A_part_H04	part	A	1.1404829025268555	0	0
v_bun_F04	bun	v	1.752528190612793	0	0
A_mart_F09	mart	A	1.0835380554199219	0	0
A_lark_H09	lark	A	1.3486499786376953	0	0
v_mutt_F05	mutt	v	1.4132390022277832	0	0
v_cut_H07	cut	v	1.6559171676635742	0	0

#TotalErreurs#0TempsTotal#1min 33sec
