#Sun Feb 21 11:12:23 2021#Liste2AFC_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_putt_F04	putt	v	4.239358901977539	0	0
A_carp_F08	carp	A	0.4974980354309082	1	0
A_part_F04	part	A	1.3925800323486328	0	0
A_barn_F05	barn	A	1.1297516822814941	0	0
v_tut_H09	tut	v	1.2628161907196045	0	0
v_tut_F05	tut	v	2.187246799468994	0	0
v_mutt_F07	mutt	v	2.013878107070923	0	0
v_puck_F07	puck	v	2.0774080753326416	0	0
v_luck_F07	luck	v	1.2875258922576904	0	0
v_cup_H05	cup	v	1.3872549533843994	0	0
A_part_F09	part	A	1.291935920715332	0	0
v_putt_H05	putt	v	1.4116969108581543	0	0
A_part_H08	part	A	1.3661417961120605	0	0
A_tart_H09	tart	A	0.629025936126709	1	0
A_barn_H07	barn	A	2.2806966304779053	0	0
A_card_F04	card	A	1.4075751304626465	0	0
A_park_F04	park	A	2.562481164932251	0	0
A_lark_H05	lark	A	3.21458101272583	0	0
v_buck_F07	buck	v	1.4322290420532227	0	0
v_puck_F05	puck	v	1.2753820419311523	0	0
A_mart_H08	mart	A	1.4913830757141113	0	0
A_card_F06	card	A	1.3929290771484375	0	0
A_part_F07	part	A	2.7130870819091797	0	0
A_cart_H08	cart	A	1.5329368114471436	0	0
A_part_H07	part	A	1.2167387008666992	0	0
v_putt_H09	putt	v	1.4333388805389404	0	0
A_tart_F06	tart	A	1.3428289890289307	0	0
A_mart_F06	mart	A	1.3173680305480957	0	0
A_lark_F06	lark	A	1.5391647815704346	0	0
v_buck_F04	buck	v	1.215698003768921	0	0

#TotalErreurs#2TempsTotal#1min 43sec
