#Sat Feb 20 23:20:44 2021#Liste2AFC_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_beak_H07	beak	I	2.661971092224121	0	0
i_sick_F05	sick	i	1.2163200378417969	0	0
i_lick_H09	lick	i	1.0228321552276611	1	0
i_pick_F08	pick	i	1.2941899299621582	0	0
I_leak_H08	leak	I	1.3203489780426025	0	0
i_chip_H06	chip	i	0.3802309036254883	1	0
i_chip_F04	chip	i	1.557725191116333	0	0
i_tick_H09	tick	i	1.376678228378296	0	0
i_kip_F08	kip	i	1.307513952255249	0	0
I_deed_F04	deed	I	0.9718799591064453	0	0
i_sick_H04	sick	i	1.1744627952575684	0	0
i_tick_F04	tick	i	1.0459160804748535	0	0
i_min_H08	min	i	1.8552219867706299	0	0
I_peak_H07	peak	I	1.0440781116485596	0	0
I_bean_F04	bean	I	1.4313218593597412	0	0
i_lick_F08	lick	i	1.6050961017608643	0	0
I_beak_H06	beak	I	2.4642601013183594	0	0
i_lick_H07	lick	i	2.2959558963775635	0	0
i_lick_H05	lick	i	1.1319019794464111	0	0
I_mean_F09	mean	I	1.2885429859161377	0	0
I_deed_F05	deed	I	1.533064842224121	0	0
i_min_F05	min	i	0.6156260967254639	1	0
I_mean_F05	mean	I	1.157698154449463	0	0
I_mean_F04	mean	I	1.6500439643859863	0	0
i_kip_F05	kip	i	1.111191987991333	0	0
I_keep_F04	keep	I	1.712183952331543	0	0
I_teak_H04	teak	I	2.218620777130127	0	0
I_keep_H06	keep	I	1.3792641162872314	0	0
i_chip_F08	chip	i	1.371077060699463	0	0
i_did_F08	did	i	1.4624156951904297	0	0

#TotalErreurs#3TempsTotal#1min 42sec
