#Sun Feb 21 11:14:20 2021#Liste2AFC_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_leak_H08	leak	I	11.958992004394531	0	0
I_peak_H07	peak	I	2.4454290866851807	0	0
I_cheap_F04	cheap	I	1.8192639350891113	0	0
i_did_F07	did	i	1.5246829986572266	0	0
i_did_F06	did	i	1.5629708766937256	0	0
I_bean_H08	bean	I	2.9740569591522217	0	0
I_seek_F09	seek	I	1.8237738609313965	0	0
i_lick_H05	lick	i	1.9855260848999023	0	0
i_tick_F04	tick	i	1.6888360977172852	0	0
i_min_F05	min	i	1.3947551250457764	1	0
I_teak_F04	teak	I	1.4530649185180664	0	0
I_cheap_F07	cheap	I	0.8460938930511475	1	0
I_mean_H06	mean	I	1.3663139343261719	0	0
i_sick_H05	sick	i	1.91986083984375	0	0
i_bik_F07	bik	i	1.3496160507202148	0	0
i_min_H05	min	i	3.0539698600769043	0	0
I_leak_H05	leak	I	1.8728837966918945	0	0
i_bin_H08	bin	i	1.431947946548462	0	0
i_bin_F05	bin	i	1.7313151359558105	0	0
I_mean_H05	mean	I	1.5306499004364014	0	0
i_min_F06	min	i	1.7246451377868652	0	0
i_bin_H06	bin	i	0.588170051574707	1	0
I_bean_H05	bean	I	1.4464130401611328	0	0
i_sick_H06	sick	i	1.3334500789642334	0	0
i_min_H07	min	i	1.540632963180542	0	0
i_pick_F06	pick	i	4.632143259048462	0	0
I_mean_F05	mean	I	1.6994519233703613	0	0
I_peak_F06	peak	I	0.6273071765899658	1	0
i_lick_F06	lick	i	2.3484809398651123	0	0
I_leak_F07	leak	I	4.833323001861572	0	0

#TotalErreurs#4TempsTotal#2min 12sec
