Sat Feb 20 23:22:45 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
v_mutt_F09	mutt	v	v	3.126941204071045	0	0
A_lark_H09	lark	A	A	3.9409677982330322	0	0
a_cap_F05	cap	a	a	2.10280704498291	0	0
I_mean_F09	mean	I	I	2.4706733226776123	0	0
a_lack_H05	lack	a	a	3.7607860565185547	0	0
i_chip_H05	chip	i	i	2.9649789333343506	0	0
A_bark_H07	bark	A	a	1.0617637634277344	1	0
v_buck_H06	buck	v	v	1.95534086227417	0	0
A_mart_F04	mart	A	A	1.9454970359802246	0	0
A_part_H05	part	A	v	1.6491138935089111	1	0
A_mart_H06	mart	A	A	1.5981318950653076	0	0
a_mat_H05	mat	a	a	4.257739067077637	0	0
I_beak_F09	beak	I	I	2.0789670944213867	0	0
v_buck_H04	buck	v	a	0.41771793365478516	1	1
I_leak_F04	leak	I	I	2.7713959217071533	0	0
I_bean_H09	bean	I	I	1.328016996383667	0	0
i_min_H08	min	i	i	1.802232027053833	0	0
a_lack_F04	lack	a	v	0.36830902099609375	1	0
A_bark_H08	bark	A	A	1.8973419666290283	0	0
a_cap_F09	cap	a	a	2.0494539737701416	0	0
a_cap_F06	cap	a	a	2.1782400608062744	0	0
a_cap_F04	cap	a	a	1.4076306819915771	0	0
i_min_F09	min	i	i	1.922532081604004	0	0
v_buck_F06	buck	v	v	1.362210988998413	0	0
i_bin_H04	bin	i	i	2.4496402740478516	0	0
A_lark_F07	lark	A	v	0.5789308547973633	1	0
A_lark_H04	lark	A	A	1.571997880935669	0	0
i_bin_H07	bin	i	i	2.127711057662964	0	0
v_putt_F07	putt	v	v	1.4235200881958008	0	0
v_buck_F05	buck	v	a	0.5218801498413086	1	0

#TotalErreurs#6#TempsTotal#2min 10sec
