Fri May 07 16:03:01 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
I_seek_F09	seek	I	I	2.5603749752044678	0	0
i_tick_F06	tick	i	i	1.816859245300293	0	0
I_teak_F08	teak	I	I	1.3579418659210205	0	0
v_cud_H07	cud	v	v	1.4624509811401367	0	0
I_seek_H08	seek	I	I	1.997682809829712	0	0
i_sick_H09	sick	i	i	1.494330883026123	0	0
a_cad_F05	cad	a	a	2.0473172664642334	0	0
i_pick_F08	pick	i	i	2.4970862865448	0	0
i_sick_F07	sick	i	i	1.6001338958740234	0	0
v_tut_H09	tut	v	v	1.651291847229004	0	0
A_cart_H04	cart	A	A	1.6756000518798828	0	0
I_deed_H06	deed	I	I	2.1317992210388184	0	0
v_bun_H05	bun	v	v	1.9350700378417969	0	0
i_pick_H08	pick	i	i	1.5563440322875977	0	0
I_keep_H06	keep	I	I	1.7828490734100342	0	0
a_cat_H07	cat	a	a	1.4869258403778076	0	0
I_peak_H08	peak	I	I	1.6485631465911865	0	0
v_cud_F04	cud	v	v	1.6877400875091553	0	0
i_kip_H05	kip	i	i	1.908890962600708	0	0
v_cud_F08	cud	v	v	1.5539560317993164	0	0
a_pack_H04	pack	a	a	1.93684720993042	0	0
i_kip_F09	kip	i	i	1.742915153503418	0	0
I_seek_H06	seek	I	I	2.1116411685943604	0	0
v_cud_H04	cud	v	v	1.6419439315795898	0	0
a_cad_F08	cad	a	a	1.8906712532043457	0	0
A_park_F09	park	A	A	2.308198928833008	0	0
v_cud_H06	cud	v	v	2.9744350910186768	0	0
I_teak_H05	teak	I	I	2.355081081390381	0	0
A_tart_F05	tart	A	A	1.6399071216583252	0	0
v_bun_F07	bun	v	v	1.9546678066253662	0	0

#TotalErreurs#0#TempsTotal#1min 45sec
