Sun Mar 28 14:49:58 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
I_deed_F09	deed	I	I	5.59437370300293	0	0
A_tart_H09	tart	A	A	2.5534920692443848	0	0
v_bun_H06	bun	v	v	2.540092706680298	0	0
i_sick_F07	sick	i	i	1.6219022274017334	0	0
v_cut_H06	cut	v	v	3.8032009601593018	0	0
I_seek_H05	seek	I	I	2.49420428276062	0	0
v_cud_H04	cud	v	v	1.7901082038879395	0	0
v_tut_F09	tut	v	v	1.8380999565124512	0	0
I_seek_H09	seek	I	I	2.4455690383911133	0	0
a_cad_H05	cad	a	a	2.3539299964904785	0	0
A_cart_H05	cart	A	A	2.7494640350341797	0	0
a_cat_H07	cat	a	a	1.614358901977539	0	0
A_park_F09	park	A	A	1.7292640209197998	0	0
a_ban_H07	ban	a	a	2.0060572624206543	0	0
a_pack_F09	pack	a	a	1.5482666492462158	0	0
I_peak_H08	peak	I	I	1.997290849685669	0	0
a_cat_F04	cat	a	a	1.7320411205291748	0	0
a_pack_H08	pack	a	a	1.4552831649780273	0	0
a_ban_H09	ban	a	a	1.4438469409942627	0	0
A_cart_F07	cart	A	A	2.194255828857422	0	0
v_cud_F05	cud	v	v	1.721925973892212	0	0
v_puck_H07	puck	v	v	1.8685798645019531	0	0
v_puck_F06	puck	v	v	1.9627330303192139	0	0
A_tart_H05	tart	A	A	2.275035858154297	0	0
a_cat_F07	cat	a	a	1.5543692111968994	0	0
v_cud_H09	cud	v	v	1.545154094696045	0	0
A_card_H08	card	A	A	1.8217601776123047	0	0
a_cad_H04	cad	a	a	1.5865609645843506	0	0
A_cart_H09	cart	A	A	1.6694819927215576	0	0
v_cut_H09	cut	v	v	1.5588548183441162	0	0

#TotalErreurs#0#TempsTotal#1min 54sec
