#Sat Feb 06 18:30:25 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_back_H07-v_buck_H04	2	2	1	0.7202780246734619	0	0
a_back_H08-a_back_H06	1	2	0	0.17084574699401855	1	0
a_cad_F08-a_cad_F06	1	2	0	0.09585428237915039	1	0
v_mutt_H07-v_mutt_H08	1	2	0	0.20921802520751953	1	1
v_mutt_F04-a_mat_F07	2	2	1	0.6628658771514893	0	0
v_mutt_H04-a_mat_H07	2	1	0	0.2757699489593506	1	0
a_lack_H06-a_lack_H05	1	1	1	1.0521941184997559	0	0
v_cut_F04-a_cat_F09	2	1	0	1.0813908576965332	1	0
v_cud_H04-a_cad_H07	2	2	1	1.3335630893707275	0	0
a_cad_F05-v_cud_F04	2	2	1	0.5409901142120361	0	0
a_cat_F07-v_cut_F05	2	1	0	0.10430407524108887	1	0
v_putt_H09-v_putt_H08	1	1	1	0.8247790336608887	0	0
a_back_F08-a_back_F06	1	2	0	0.6493618488311768	1	1
v_cud_F06-a_cad_F05	2	2	1	1.5457420349121094	0	0
a_pat_H04-a_pat_H09	1	1	1	0.7893581390380859	0	0
v_putt_F08-a_pat_F04	2	2	1	0.5986762046813965	0	0
a_pack_H06-a_pack_H05	1	1	1	0.6989932060241699	0	0
a_pack_H09-v_puck_H08	2	2	1	0.22187089920043945	0	0
a_pack_F08-a_pack_F09	1	1	1	0.3789651393890381	0	0
v_cut_H05-v_cut_H07	1	2	0	0.21924400329589844	1	0
v_cud_H07-v_cud_H08	1	1	1	0.5789978504180908	0	0
v_buck_F05-v_buck_F09	1	2	0	0.46184229850769043	1	0
a_cad_H06-a_cad_H07	1	1	1	0.5249671936035156	0	0
a_tat_F05-v_tut_F04	2	1	0	0.7560219764709473	1	0
v_puck_F08-a_pack_F07	2	2	1	0.7753810882568359	0	0
a_ban_H07-v_bun_H09	2	2	1	0.7621538639068604	0	0
v_putt_H05-v_putt_H06	1	1	1	0.3692150115966797	0	0
a_cat_H06-a_cat_H09	1	1	1	0.22736716270446777	0	0
v_tut_F06-a_tat_F09	2	2	1	0.42936182022094727	0	0
a_cad_F06-a_cad_F07	1	1	1	0.1769578456878662	0	0

#TotalErreurs#10#TempsTotal#2min 57sec
