#Wed Jan 27 17:43:31 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_cart_H09-v_cut_H07	2	2	1	0.606529951095581	0	2
v_bun_H06-A_barn_H07	2	2	1	0.22052001953125	0	2
A_part_H06-A_part_H05	1	1	1	1.4077558517456055	0	1
A_part_H09-v_putt_H04	2	2	1	0.7445859909057617	0	0
A_card_H07-v_cud_H09	2	1	0	0.5261118412017822	1	2
v_cut_F09-v_cut_F04	1	2	0	0.05467081069946289	1	2
v_cut_H06-A_cart_H09	2	2	1	1.9665191173553467	0	1
v_putt_H07-v_putt_H09	1	2	0	0.3269660472869873	1	1
v_buck_F07-v_buck_F08	1	1	1	0.907109260559082	0	4
v_putt_F06-A_part_F07	2	2	1	0.7454609870910645	0	1
v_cut_F04-A_cart_F09	2	2	1	0.050520896911621094	0	1
v_cut_H08-A_cart_H05	2	2	1	1.8850970268249512	0	1
A_cart_H07-v_cut_H05	2	1	0	0.2353043556213379	1	2
v_luck_H04-A_lark_H05	2	2	1	1.689213752746582	0	1
v_putt_H06-A_part_H07	2	2	1	0.6235299110412598	0	1
v_putt_F05-v_putt_F06	1	1	1	1.2709569931030273	0	0
A_park_F06-A_park_F05	1	1	1	1.475517749786377	0	1
v_mutt_H06-A_mart_H05	2	1	0	1.6653599739074707	1	2
v_tut_H08-A_tart_H05	2	2	1	0.8850898742675781	0	1
v_buck_H05-v_buck_H09	1	2	0	1.0154333114624023	1	1
A_cart_H04-A_cart_H05	1	2	0	0.33384084701538086	1	1
v_cud_F07-v_cud_F08	1	1	1	0.36599111557006836	0	3
A_cart_H06-A_cart_H09	1	1	1	1.0617399215698242	0	1
A_card_H08-A_card_H06	1	1	1	0.7634129524230957	0	1
v_cud_F08-A_card_F04	2	1	0	0.3419170379638672	1	1
v_luck_H06-A_lark_H04	2	1	0	0.23921680450439453	1	2
A_carp_F08-A_carp_F07	1	1	1	1.3494601249694824	0	1
v_puck_H07-v_puck_H08	1	1	1	0.1840529441833496	0	1
A_part_H05-v_putt_H06	2	1	0	0.9637470245361328	1	1
A_bark_F04-A_bark_F09	1	2	0	1.1888880729675293	1	2

#TotalErreurs#11#TempsTotal#4min 57sec
