#Wed Feb 10 11:06:21 2021#Liste2AFC_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_mat_F08	mat	a	3.8694920539855957	0	0
v_buck_H06	buck	v	2.162201166152954	0	0
v_buck_H09	buck	v	1.966796875	0	0
a_cad_F06	cad	a	1.2985029220581055	0	0
a_mat_H07	mat	a	1.9576160907745361	0	0
a_ban_F04	ban	a	1.642529010772705	0	0
a_cat_H06	cat	a	1.366405963897705	0	0
v_buck_H05	buck	v	0.36212801933288574	1	0
v_cut_F09	cut	v	1.7673940658569336	0	0
a_ban_H04	ban	a	1.923640251159668	0	0
a_ban_F06	ban	a	1.1626708507537842	0	0
a_cad_F04	cad	a	1.2906749248504639	0	0
v_luck_F04	luck	v	1.4672050476074219	0	0
v_mutt_F07	mutt	v	1.9358129501342773	0	0
v_mutt_H06	mutt	v	2.5423460006713867	0	0
v_puck_F04	puck	v	1.409855842590332	0	0
v_cut_F04	cut	v	1.5658328533172607	0	0
a_lack_H08	lack	a	1.3463821411132812	0	0
a_pat_H04	pat	a	1.6997349262237549	0	0
v_cup_F09	cup	v	1.5707828998565674	0	0
v_cud_F06	cud	v	1.3471601009368896	0	0
a_pack_F08	pack	a	1.3355188369750977	0	0
v_cut_H04	cut	v	1.9280388355255127	0	0
v_buck_H07	buck	v	1.6539890766143799	0	0
a_cad_H09	cad	a	1.697619915008545	0	0
v_cud_H09	cud	v	1.5802359580993652	0	0
v_buck_F05	buck	v	1.3675031661987305	0	0
a_pat_F05	pat	a	1.4280290603637695	0	0
v_luck_H06	luck	v	2.1152870655059814	0	0
a_back_H09	back	a	1.440802812576294	0	0

#TotalErreurs#1TempsTotal#1min 44sec
