#Sat May 08 18:58:02 2021#Liste2AFC_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_mart_F08	mart	A	2.583193063735962	0	1
v_buck_H06	buck	v	0.7220010757446289	1	1
v_cut_H08	cut	v	1.235123872756958	0	0
A_part_F09	part	A	1.6704630851745605	0	0
v_cut_H09	cut	v	1.7389600276947021	0	0
A_carp_F08	carp	A	1.2050092220306396	0	0
A_card_H08	card	A	0.981853723526001	0	0
v_puck_F09	puck	v	1.4113550186157227	0	0
v_bun_F04	bun	v	1.0417089462280273	0	0
v_puck_H08	puck	v	1.8346269130706787	0	0
v_puck_F05	puck	v	1.11494779586792	0	0
A_cart_H06	cart	A	1.0264499187469482	0	0
v_putt_H05	putt	v	1.985023021697998	0	2
v_puck_H05	puck	v	1.2459142208099365	0	0
A_part_F08	part	A	1.5315308570861816	0	0
v_luck_F06	luck	v	1.0164330005645752	0	0
v_cud_F06	cud	v	1.4416399002075195	0	0
A_park_F05	park	A	1.051797866821289	0	0
A_mart_H08	mart	A	1.291038990020752	0	0
A_barn_F04	barn	A	1.1750390529632568	1	0
v_mutt_F08	mutt	v	1.313218116760254	0	0
v_bun_H05	bun	v	1.3423280715942383	0	0
A_bark_F09	bark	A	1.4180560111999512	0	0
v_puck_F07	puck	v	1.0378062725067139	0	0
v_putt_F08	putt	v	1.3113598823547363	0	0
A_barn_H04	barn	A	0.8940739631652832	1	0
A_part_H04	part	A	0.5950419902801514	1	0
v_cut_H06	cut	v	0.4052739143371582	1	0
A_lark_H04	lark	A	0.8512940406799316	1	0
v_buck_H09	buck	v	1.126619815826416	0	0

#TotalErreurs#6TempsTotal#1min 54sec
