Sat May 08 20:12:46 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
A_tart_F08	tart	A	A	1.7279558181762695	0	2
A_tart_H06	tart	A	A	6.426695823669434	0	0
A_tart_F07	tart	A	A	1.4157769680023193	0	1
i_pick_H04	pick	i	i	1.4993281364440918	0	0
A_cart_F04	cart	A	A	2.2297558784484863	0	0
v_cud_F05	cud	v	v	1.943735122680664	0	0
I_seek_F08	seek	I	I	2.2005960941314697	0	0
I_teak_H07	teak	I	I	1.6012661457061768	0	0
A_card_H08	card	A	A	1.3858180046081543	0	0
a_pack_F06	pack	a	a	2.7932491302490234	0	0
A_park_H07	park	A	A	1.5059912204742432	0	0
v_cut_F06	cut	v	v	1.531507968902588	0	0
i_kip_F04	kip	i	v	1.4216361045837402	1	0
A_cart_H04	cart	A	A	1.4460370540618896	0	0
A_park_H09	park	A	A	1.3050510883331299	0	0
I_deed_H07	deed	I	I	1.5339808464050293	0	0
A_card_H09	card	A	A	1.692108154296875	0	0
I_deed_F07	deed	I	I	1.564244031906128	0	0
I_teak_F05	teak	I	i	1.5471360683441162	1	0
A_park_H08	park	A	A	1.4736318588256836	0	0
A_card_F05	card	A	A	1.8326678276062012	0	3
A_cart_F05	cart	A	A	1.4481298923492432	0	0
v_cud_F08	cud	v	v	1.5539209842681885	0	1
v_tut_F05	tut	v	a	1.7694568634033203	1	0
v_tut_H05	tut	v	v	0.9646120071411133	0	1
I_keep_F09	keep	I	I	2.4596312046051025	0	0
A_card_H05	card	A	A	2.238152265548706	0	0
a_cad_F05	cad	a	a	1.8284389972686768	0	0
I_deed_F09	deed	I	I	1.723114013671875	0	0
v_puck_H09	puck	v	A	0.6938579082489014	2	0

#TotalErreurs#5#TempsTotal#2min 48sec
