#Tue May 11 23:25:39 2021#Liste2AFC_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_barn_F09	barn	A	0.9789509773254395	0	2
v_bun_H07	bun	v	0.6839311122894287	1	2
A_mart_H09	mart	A	2.497454881668091	0	0
A_bark_F04	bark	A	1.1006813049316406	0	0
A_carp_F04	carp	A	2.138360023498535	0	0
A_card_H07	card	A	1.2525689601898193	0	0
v_buck_H08	buck	v	1.1899960041046143	0	0
v_buck_F05	buck	v	1.0567779541015625	0	0
A_lark_F09	lark	A	1.9299850463867188	0	0
A_barn_F08	barn	A	1.2563819885253906	0	0
v_cup_F05	cup	v	0.5663449764251709	1	1
v_puck_H06	puck	v	0.6945958137512207	1	0
A_barn_H09	barn	A	1.4813158512115479	0	0
A_mart_F08	mart	A	0.48482513427734375	1	1
v_tut_H07	tut	v	1.0957539081573486	0	0
A_park_F08	park	A	0.7106449604034424	1	0
A_lark_H05	lark	A	0.910358190536499	0	1
A_cart_F09	cart	A	1.3292930126190186	0	0
v_cup_H07	cup	v	0.8621220588684082	0	1
v_mutt_H07	mutt	v	2.107694149017334	0	0
v_puck_H05	puck	v	1.0466630458831787	0	0
A_cart_H04	cart	A	1.0315289497375488	0	0
v_puck_H04	puck	v	0.655709981918335	0	2
A_park_F06	park	A	1.822265863418579	0	0
A_barn_H07	barn	A	2.142549991607666	0	0
A_park_F07	park	A	0.853316068649292	0	1
v_cud_F04	cud	v	0.27352190017700195	1	1
v_buck_F07	buck	v	1.4813599586486816	0	0
v_putt_H07	putt	v	1.2957000732421875	0	0
A_carp_H09	carp	A	0.6885721683502197	1	0

#TotalErreurs#7TempsTotal#4min 28sec
