Sun May 02 23:28:47 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
v_cud_F07	cud	v	v	1.9052889347076416	0	0
a_ban_H09	ban	a	A	2.895198106765747	1	0
i_did_F05	did	i	I	0.8740031719207764	1	0
v_puck_F07	puck	v	v	1.4017019271850586	0	0
v_cud_F04	cud	v	A	0.7230119705200195	1	0
a_cat_H06	cat	a	a	1.5707871913909912	0	0
i_sick_F06	sick	i	i	1.9519391059875488	0	0
A_tart_F08	tart	A	A	2.7290968894958496	0	0
a_pack_F09	pack	a	a	2.338895082473755	0	0
A_park_H07	park	A	A	4.762159109115601	0	0
i_pick_F09	pick	i	i	1.780970573425293	0	0
A_tart_H08	tart	A	v	0.8391790390014648	1	0
v_cut_F07	cut	v	v	1.395231008529663	0	0
A_card_H08	card	A	A	1.9147248268127441	0	0
I_deed_H05	deed	I	I	2.590546131134033	0	0
A_tart_F07	tart	A	A	1.806900978088379	0	0
I_keep_F05	keep	I	i	1.1339590549468994	1	0
v_cut_H04	cut	v	v	2.169340133666992	0	0
a_cad_F07	cad	a	a	3.452897071838379	0	0
i_did_H06	did	i	i	1.9529731273651123	0	0
A_cart_F08	cart	A	v	0.8869619369506836	1	1
v_bun_H04	bun	v	v	1.8894877433776855	0	0
A_barn_F06	barn	A	A	2.0791049003601074	0	0
I_teak_H05	teak	I	I	1.514326810836792	0	1
i_kip_H08	kip	i	i	1.387726068496704	0	0
a_cat_F09	cat	a	a	1.584291934967041	0	0
i_sick_H06	sick	i	i	1.7317149639129639	0	0
i_sick_H09	sick	i	i	1.6478300094604492	0	0
a_tat_H05	tat	a	a	2.119213104248047	0	0
i_pick_H08	pick	i	i	2.0306291580200195	0	0

#TotalErreurs#6#TempsTotal#2min 14sec
