#Mon Mar 15 09:34:46 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_puck_F07-v_puck_F08	1	1	1	2.8764920234680176	0	0
v_mutt_F09-v_mutt_F06	1	1	1	2.358225107192993	0	0
v_cut_F04-A_cart_F09	2	2	1	0.8585779666900635	0	0
A_cart_F07-v_cut_F05	2	1	0	1.548888921737671	1	0
v_luck_H07-v_luck_H09	1	2	0	0.8407442569732666	1	0
v_cud_F05-v_cud_F04	1	1	1	0.9394559860229492	0	0
A_mart_H06-A_mart_H05	1	1	1	1.8092689514160156	0	0
v_putt_F08-A_part_F04	2	2	1	0.24052691459655762	0	1
v_cut_F09-v_cut_F04	1	1	1	0.8171660900115967	0	0
A_carp_F06-A_carp_F07	1	1	1	0.4504861831665039	0	0
A_lark_F08-A_lark_F09	1	1	1	0.5250949859619141	0	0
A_part_H04-A_part_H09	1	1	1	2.4718310832977295	0	1
A_barn_H08-A_barn_H05	1	1	1	0.5337958335876465	0	1
A_mart_H09-v_mutt_H05	2	2	1	0.9937098026275635	0	0
v_cud_H05-v_cud_H04	1	1	1	1.0838408470153809	0	0
v_cud_H08-A_card_H04	2	1	0	1.0193510055541992	1	0
A_park_F05-v_puck_F09	2	2	1	3.5754730701446533	0	0
A_cart_F09-v_cut_F07	2	1	0	0.721843957901001	1	0
v_tut_H05-v_tut_H08	1	1	1	0.9206998348236084	0	0
v_luck_H04-A_lark_H05	2	2	1	0.8839211463928223	0	1
v_buck_F09-v_buck_F04	1	1	1	0.9875369071960449	0	0
v_cut_H08-A_cart_H05	2	1	0	0.4754350185394287	1	0
v_puck_F05-v_puck_F06	1	1	1	1.523845911026001	0	0
A_card_F05-v_cud_F04	2	2	1	3.716326951980591	0	0
v_putt_H07-v_putt_H09	1	1	1	1.2241649627685547	0	0
v_cup_F07-v_cup_F04	1	2	0	0.8103399276733398	1	0
A_cart_F04-A_cart_F05	1	1	1	0.07587885856628418	0	1
v_bun_F07-v_bun_F06	1	1	1	0.9425370693206787	0	1
A_mart_F05-v_mutt_F07	2	2	1	0.5666768550872803	0	0
A_part_F09-v_putt_F04	2	2	1	1.4495642185211182	0	0

#TotalErreurs#6#TempsTotal#3min 39sec
