#Mon Mar 15 09:40:28 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_leak_H07-i_lick_H04	2	2	1	0.9357123374938965	0	0
i_sick_H05-i_sick_H04	1	1	1	1.635697841644287	0	0
i_lick_F05-i_lick_F06	1	1	1	0.40961313247680664	0	0
I_peak_F05-i_pick_F06	2	2	1	1.0134179592132568	0	0
i_kip_H08-I_keep_H04	2	2	1	0.8054487705230713	0	1
i_chip_H07-i_cheap_H04	1	2	0	0.4860570430755615	1	0
I_keep_F08-I_keep_F06	1	2	0	0.6735880374908447	1	1
i_tick_H06-I_teak_H09	2	2	1	0.7702388763427734	0	0
i_kip_H04-I_keep_H07	2	1	0	2.711081027984619	1	0
I_beak_H09-i_bik_H04	2	2	1	0.9513471126556396	0	1
i_pick_H06-I_peak_H07	2	2	1	2.874903917312622	0	0
I_peak_F08-I_peak_F05	1	1	1	0.742448091506958	0	0
i_did_F07-i_did_F04	1	1	1	0.5369009971618652	0	1
I_deed_H05-i_did_H04	2	2	1	0.30712389945983887	0	1
i_lick_H07-i_lick_H08	1	1	1	0.8074121475219727	0	0
I_keep_F04-I_keep_F08	1	1	1	1.0844929218292236	0	0
i_min_H04-I_mean_H08	2	2	1	1.3560011386871338	0	0
I_beak_H05-i_bik_H06	2	2	1	2.7615158557891846	0	0
i_min_F06-I_mean_F08	2	2	1	0.6946699619293213	0	1
I_leak_F06-I_leak_F05	1	1	1	0.6272239685058594	0	0
i_min_H07-i_min_H08	1	1	1	0.3420538902282715	0	0
I_beak_F06-I_beak_F05	1	1	1	0.7387828826904297	0	0
I_leak_F09-i_lick_F08	2	2	1	0.9032461643218994	0	0
i_bin_H09-i_bin_H06	1	1	1	0.4864380359649658	0	0
i_bin_H04-I_bean_H05	2	2	1	0.4903559684753418	0	0
I_seek_F07-i_sick_F09	2	2	1	0.2069718837738037	0	1
i_lick_H04-I_leak_H07	2	2	1	1.0562000274658203	0	0
I_bean_F06-I_bean_F05	1	1	1	0.739326000213623	0	0
i_chip_H05-i_cheap_H08	1	2	0	0.5529708862304688	1	1
i_lick_F06-I_leak_F08	2	2	1	0.9142017364501953	0	0

#TotalErreurs#4#TempsTotal#3min 8sec
