Wed Feb  3 13:54:37 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
i_min_F09	min	i	I	0.01006470201537013	1	0
I_beak_H04	beak	I	i	0.40108653000788763	1	0
i_bin_F05	bin	i	i	2.079054689966142	0	0
I_beak_H07	beak	I	I	1.0696556179900654	0	0
a_lack_F07	lack	a	a	1.3035682779736817	0	0
a_pat_H04	pat	a	a	2.0162414539954625	0	0
i_bin_H04	bin	i	i	1.7362593680154532	0	0
v_buck_F07	buck	v	v	1.654823092976585	0	0
I_bean_H09	bean	I	I	1.7392978339921683	0	0
I_bean_H08	bean	I	i	0.8271479199756868	1	0
A_lark_F06	lark	A	a	0.009811756026465446	1	0
i_lick_H04	lick	i	i	1.3703008689917624	0	0
I_cheap_F04	cheap	I	I	1.4844965160009451	0	0
v_cup_F06	cup	v	v	1.4856852749944665	0	0
A_bark_H04	bark	A	A	3.2782187400152907	0	0
a_cap_F08	cap	a	a	1.3559680869802833	0	0
i_bik_F08	bik	i	i	1.2384631130262278	0	0
I_leak_F04	leak	I	I	1.1833774329861626	0	0
I_beak_H05	beak	I	I	1.0221982430084608	0	0
i_bik_H07	bik	i	i	0.9490509870229289	0	0
I_leak_F06	leak	I	I	0.9727311030146666	0	0
A_carp_H07	carp	A	A	1.8081654109992087	0	0
a_cap_F09	cap	a	a	2.722283423994668	0	0
I_cheap_F08	cheap	I	I	1.25427940802183	0	0
i_bik_H04	bik	i	i	1.0013319799909368	0	0
v_putt_H08	putt	v	v	2.084152630995959	0	0
a_cap_F06	cap	a	a	3.848972439998761	0	0
v_mutt_F06	mutt	v	v	3.0399103779927827	0	0
A_lark_H04	lark	A	a	0.03843544103438035	1	0
v_cup_H05	cup	v	A	0.16110575501807034	1	0

#TotalErreurs#6#TempsTotal#3min 1sec
