#Sat Apr 10 15:09:14 2021#Liste2AFC_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_keep_H04	keep	I	2.0934178829193115	0	1
i_chip_F07	chip	i	1.826183795928955	0	0
I_seek_H09	seek	I	2.1741838455200195	0	0
i_tick_F08	tick	i	2.152646780014038	0	0
I_keep_F04	keep	I	1.5962839126586914	1	0
I_peak_F08	peak	I	1.8845009803771973	0	0
I_mean_H06	mean	I	2.090684175491333	0	0
I_deed_H07	deed	I	2.229024887084961	0	0
i_bik_H04	bik	i	1.8415148258209229	0	0
i_bin_H06	bin	i	1.6697208881378174	1	0
i_min_H09	min	i	1.9949021339416504	0	0
I_seek_H07	seek	I	2.141124963760376	1	0
I_seek_F06	seek	I	1.3025097846984863	1	0
i_pick_H07	pick	i	2.755164861679077	0	0
I_bean_F05	bean	I	1.9975459575653076	0	0
I_teak_H09	teak	I	1.527174711227417	1	0
i_did_H04	did	i	2.1065051555633545	0	0
i_bin_H05	bin	i	2.0569169521331787	0	0
I_seek_F08	seek	I	1.9011461734771729	0	0
i_pick_F07	pick	i	1.9199159145355225	0	0
I_leak_H08	leak	I	2.8229918479919434	0	0
i_did_H09	did	i	1.9508910179138184	0	0
I_peak_H07	peak	I	2.777082920074463	0	0
I_teak_H06	teak	I	2.8220107555389404	0	0
I_cheap_H05	cheap	I	2.2822866439819336	0	0
i_lick_F09	lick	i	1.190744161605835	1	0
i_kip_F04	kip	i	2.1468260288238525	0	0
i_chip_H09	chip	i	1.7884349822998047	0	0
I_bean_H08	bean	I	1.975147008895874	0	0
i_lick_F07	lick	i	2.0532641410827637	0	0

#TotalErreurs#6TempsTotal#2min 15sec
