Tue May 18 21:04:05 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
a_back_H06	back	a	a	2.4432709217071533	0	0
v_luck_F08	luck	v	v	2.1288938522338867	0	0
i_lick_H04	lick	i	i	1.8757202625274658	0	0
A_lark_F09	lark	A	A	2.2574100494384766	0	0
a_lack_F09	lack	a	a	1.3210277557373047	0	0
v_luck_H09	luck	v	v	1.185107946395874	0	0
A_carp_F05	carp	A	v	1.2365751266479492	1	0
A_bark_H06	bark	A	v	1.013859748840332	1	0
A_mart_F04	mart	A	A	1.569817066192627	0	1
a_cap_F04	cap	a	a	1.2732570171356201	0	0
i_chip_H04	chip	i	I	0.2897770404815674	1	0
I_bean_H04	bean	I	I	1.9409241676330566	0	0
a_mat_F05	mat	a	a	1.333975076675415	0	0
A_bark_F09	bark	A	A	1.218372106552124	0	1
i_chip_F08	chip	i	I	0.27193498611450195	1	0
i_chip_H06	chip	i	i	1.3336069583892822	0	0
A_mart_H05	mart	A	A	0.8287980556488037	0	2
v_mutt_H08	mutt	v	v	1.1505422592163086	0	0
a_lack_F04	lack	a	a	1.131152868270874	0	0
I_bean_H07	bean	I	I	1.3436150550842285	0	0
I_cheap_F05	cheap	I	I	1.6416499614715576	0	0
I_bean_F06	bean	I	I	1.0239899158477783	0	0
i_bik_F08	bik	i	i	1.2289588451385498	0	0
A_bark_H08	bark	A	a	0.31949591636657715	1	0
i_min_F09	min	i	i	1.3309109210968018	0	0
A_lark_H06	lark	A	A	1.2108280658721924	0	1
a_pat_F08	pat	a	A	0.27538108825683594	1	0
i_min_F05	min	i	I	0.29878878593444824	1	0
I_cheap_H09	cheap	I	i	0.26548194885253906	1	0
I_mean_F04	mean	I	I	1.3384900093078613	0	0

#TotalErreurs#8#TempsTotal#2min 1sec
