Mon Mar 01 10:22:17 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
I_seek_F07	seek	I	I	2.601254940032959	0	0
v_bun_H06	bun	v	v	1.5776071548461914	0	0
i_tick_H07	tick	i	I	0.988501787185669	1	0
a_tat_H09	tat	a	a	1.4247291088104248	0	0
i_did_F04	did	i	i	1.4019067287445068	0	0
v_bun_H04	bun	v	a	0.5056772232055664	2	0
v_cut_F08	cut	v	v	1.5536959171295166	0	0
I_deed_H08	deed	I	I	1.7314949035644531	0	0
I_peak_F05	peak	I	i	0.8267138004302979	1	0
i_sick_F07	sick	i	I	0.22864270210266113	1	0
A_cart_H04	cart	A	a	0.59716796875	1	0
v_tut_H06	tut	v	a	0.1465590000152588	1	0
i_kip_H04	kip	i	i	1.2677812576293945	0	0
i_pick_F05	pick	i	i	2.0927209854125977	0	0
a_pack_H07	pack	a	a	1.2396578788757324	0	0
I_keep_F06	keep	I	I	1.286250114440918	0	0
a_ban_H08	ban	a	a	1.4656498432159424	0	0
v_puck_H08	puck	v	v	1.559587001800537	0	0
v_bun_F07	bun	v	v	2.632009983062744	0	0
i_tick_H05	tick	i	i	1.2321584224700928	0	0
A_tart_H09	tart	A	a	0.806542158126831	2	0
a_cad_H04	cad	a	a	1.1506929397583008	0	0
v_tut_F06	tut	v	A	0.5051319599151611	1	0
I_seek_H07	seek	I	I	2.15277099609375	0	0
A_barn_F04	barn	A	a	0.15587306022644043	2	0
i_did_H07	did	i	i	2.464684009552002	0	0
a_ban_H09	ban	a	a	1.296802043914795	0	0
i_kip_F05	kip	i	i	1.6323597431182861	0	0
I_teak_H09	teak	I	i	0.4861030578613281	1	0
A_barn_F09	barn	A	a	0.15404796600341797	2	0

#TotalErreurs#15#TempsTotal#2min 6sec
