#Mon Feb 08 10:33:16 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_cud_H08-a_cad_H04	2	2	1	1.0605919361114502	0	1
a_mat_H09-v_mutt_H05	2	2	1	0.5400128364562988	0	1
a_back_F07-v_buck_F04	2	2	1	0.09830999374389648	0	1
a_tat_H07-v_tut_H04	2	1	0	0.24889683723449707	1	0
v_cud_F04-a_cad_F07	2	1	0	0.33765220642089844	1	0
a_tat_H06-a_tat_H08	1	2	0	0.13521885871887207	1	1
a_lack_F04-a_lack_F09	1	1	1	0.6226439476013184	0	0
v_buck_H06-a_back_H08	2	2	1	0.5895931720733643	0	1
a_cad_H08-a_cad_H06	1	2	0	0.33455824851989746	1	1
a_cap_H05-v_cup_H07	2	1	0	0.3092489242553711	1	1
a_cap_F08-a_cap_F07	1	1	1	0.4398519992828369	0	1
a_pat_F07-v_putt_F04	2	1	0	0.11727476119995117	1	0
v_puck_F08-a_pack_F07	2	2	1	0.8660249710083008	0	0
v_cut_F04-a_cat_F09	2	1	0	1.0583319664001465	1	0
v_putt_F04-a_pat_F06	2	1	0	0.14296293258666992	1	0
v_cup_H04-a_cap_H05	2	1	0	0.27106404304504395	1	0
v_luck_H04-a_lack_H05	2	1	0	0.628000020980835	1	0
a_cat_F07-v_cut_F05	2	1	0	0.4090261459350586	1	0
v_cud_H04-a_cad_H07	2	1	0	0.7722728252410889	1	0
v_cup_F04-a_cap_F05	2	2	1	0.581489086151123	0	0
v_cud_F06-a_cad_F05	2	1	0	0.7262492179870605	1	0
a_cad_F05-v_cud_F04	2	1	0	0.11945915222167969	1	0
v_buck_F09-v_buck_F04	1	1	1	0.8669688701629639	0	0
a_pack_F05-v_puck_F09	2	2	1	0.4967808723449707	0	0
a_cat_H07-v_cut_H05	2	1	0	0.8787951469421387	1	0
v_bun_H05-v_bun_H08	1	2	0	0.5278489589691162	1	0
a_mat_F06-a_mat_F05	1	1	1	0.3275570869445801	0	0
a_cad_F04-a_cad_F08	1	1	1	0.7766838073730469	0	0
v_tut_H07-v_tut_H06	1	1	1	0.7648069858551025	0	0
a_lack_F07-v_luck_F08	2	2	1	0.46082377433776855	0	0

#TotalErreurs#16#TempsTotal#3min 29sec
