#Fri Apr 30 14:05:38 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_part_H08-A_part_H09	1	2	0	1.1270318031311035	1	1
v_puck_H08-A_park_H07	2	2	1	0.1225290298461914	0	0
v_putt_F05-v_putt_F06	1	1	1	0.208143949508667	0	0
v_tut_F09-v_tut_F07	1	1	1	0.2627408504486084	0	0
A_mart_H05-v_mutt_H07	2	2	1	0.42996931076049805	0	0
A_tart_H05-v_tut_H04	2	2	1	0.30892395973205566	0	0
A_bark_H09-v_buck_H07	2	1	0	0.8226370811462402	1	0
A_cart_F05-v_cut_F04	2	1	0	0.6404788494110107	1	0
A_cart_H08-A_cart_H05	1	1	1	0.3124260902404785	0	0
A_park_F07-v_puck_F04	2	2	1	0.29100680351257324	0	0
v_cut_H08-A_cart_H05	2	1	0	0.07813596725463867	1	0
v_bun_H07-v_bun_H06	1	1	1	0.4745311737060547	0	0
v_tut_F06-A_tart_F09	2	2	1	1.079876184463501	0	0
v_luck_H08-A_lark_H09	2	2	1	0.7842671871185303	0	0
v_putt_H07-v_putt_H09	1	1	1	0.1617591381072998	0	0
v_cut_F08-A_cart_F05	2	2	1	0.3877410888671875	0	0
A_barn_F05-v_bun_F06	2	2	1	0.7125420570373535	0	0
v_buck_F05-v_buck_F09	1	1	1	0.07577085494995117	0	0
A_carp_F04-A_carp_F05	1	1	1	0.4795188903808594	0	0
v_cud_H04-A_card_H07	2	2	1	0.3694498538970947	0	0
v_cup_F08-A_carp_F06	2	2	1	0.1094808578491211	0	0
A_bark_H04-A_bark_H09	1	2	0	0.5577616691589355	1	0
v_cud_H07-v_cud_H08	1	1	1	0.23321223258972168	0	0
v_cut_H05-v_cut_H07	1	1	1	0.16841697692871094	0	0
A_lark_F08-A_lark_F09	1	2	0	1.3909149169921875	1	0
A_card_F07-v_cud_F09	2	2	1	0.3124809265136719	0	0
v_bun_H09-v_bun_H07	1	1	1	0.2153608798980713	0	0
v_cud_F07-v_cud_F08	1	1	1	0.31820082664489746	0	0
A_mart_F04-A_mart_F05	1	1	1	0.14167118072509766	0	0
v_mutt_H05-v_mutt_H04	1	1	1	0.35447192192077637	0	0

#TotalErreurs#6#TempsTotal#2min 14sec
