#00#Wed Feb 03 14:57:53 2021#ListeOddity_1.txt
Vowel	Sound Files	Response	FirstResponse	Result	Response Time	NbErreurs	nbRepetitions
v_buck_F06-v_buck_F09-a_back_F08	a	3	3	1	3.9579481160035357	0	0
v_mutt_F05-v_mutt_F07-A_mart_F08	A	3	3	1	2.3475870185066015	0	0
v_mutt_F05-A_mart_F08-A_mart_F06	v	1	1	1	2.6284330054186285	0	0
A_carp_F08-v_cup_F06-v_cup_F09	A	1	1	1	1.8144050672417507	0	0
i_lick_H04-I_leak_H05-i_lick_H09	I	2	2	1	2.118493032990955	0	0
v_cup_H07-v_cup_H08-A_carp_H09	A	3	3	1	2.200855918577872	0	0
i_min_F07-I_mean_F04-I_mean_F05	i	1	1	1	2.318286032998003	0	0
i_bik_F08-I_beak_F06-i_bik_F09	I	2	2	1	2.562011987902224	0	0
A_part_F07-A_part_F06-v_putt_F05	v	3	3	1	2.7883319084066898	0	0
I_cheap_F04-i_chip_F07-i_chip_F05	I	1	1	1	2.4766530643682927	0	0
A_mart_H07-v_mutt_H05-v_mutt_H09	A	1	1	1	2.1636241187807173	0	0
v_luck_H05-a_lack_H06-v_luck_H07	a	2	2	1	2.326735949376598	0	0
a_cap_F05-a_cap_F07-v_cup_F09	v	3	3	1	1.997797031304799	0	0
v_cup_F05-v_cup_F06-a_cap_F07	a	3	3	1	1.520776050281711	0	0
A_carp_F05-A_carp_F09-v_cup_F04	v	3	3	1	1.8691940704593435	0	0
i_min_H07-I_mean_H04-I_mean_H05	i	1	1	1	2.0372279783478007	0	0
I_leak_F09-i_lick_F08-i_lick_F06	I	1	1	1	2.135004001087509	0	0
i_chip_H09-I_cheap_H08-i_chip_H07	I	2	2	1	2.013158089132048	0	0
v_mutt_F08-a_mat_F09-a_mat_F04	v	1	1	1	1.7237041140906513	0	0
a_cap_H05-a_cap_H07-v_cup_H09	v	3	3	1	1.8142349914414808	0	0
a_cap_F07-v_cup_F09-v_cup_F05	a	1	1	1	1.5796939734136686	0	0
I_bean_H07-i_bin_H04-I_bean_H08	i	2	2	1	1.7879989778157324	0	0
I_cheap_H04-i_chip_H09-I_cheap_H06	i	2	2	1	2.3856459016678855	0	0
I_mean_F05-I_mean_F08-i_min_F04	i	3	3	1	2.139448949485086	0	0
a_pat_F08-a_pat_F06-v_putt_F04	v	3	3	1	1.8903901086887345	0	0
A_mart_H08-v_mutt_H04-A_mart_H05	v	2	2	1	3.3590669637778774	0	0
v_cup_H06-a_cap_H07-a_cap_H04	v	1	1	1	1.3588729745242745	0	0
A_lark_H04-v_luck_H05-A_lark_H07	v	2	2	1	2.117975097033195	0	0
v_mutt_H05-a_mat_H08-v_mutt_H06	a	2	2	1	2.1157849717419595	0	0
a_pat_F09-v_putt_F06-v_putt_F07	a	1	1	1	1.60297590715345	0	0

#TotalErreurs#0TempsTotal#3min 26sec
