#Sat Apr 17 14:45:35 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_bun_H06-A_barn_H07	2	2	1	2.555536908999784	0	0
A_bark_H09-v_buck_H07	2	2	1	2.1522365640003045	0	0
v_mutt_F04-A_mart_F07	2	2	1	3.2615307180003583	0	0
A_mart_F08-A_mart_F07	1	1	1	1.155527221000284	0	0
A_part_H07-v_putt_H04	2	2	1	4.1116081459999805	0	0
v_puck_H06-A_park_H08	2	2	1	1.9652379250001104	0	0
A_bark_H07-v_buck_H04	2	2	1	3.440435895999599	0	0
v_cud_H07-v_cud_H08	1	1	1	3.934871481999835	0	0
v_mutt_H05-v_mutt_H04	1	1	1	2.140936571000111	0	0
v_bun_H08-A_barn_H06	2	2	1	4.038587532000292	0	0
A_tart_H07-v_tut_H04	2	2	1	2.2774944279999545	0	0
A_mart_H04-A_mart_H05	1	1	1	4.57759194800019	0	0
A_card_F04-A_card_F08	1	1	1	2.2544065120000596	0	0
A_carp_F08-A_carp_F07	1	1	1	2.0121200130001853	0	0
v_mutt_H09-v_mutt_H06	1	1	1	3.483583954000096	0	0
A_card_H08-A_card_H06	1	1	1	3.397307535999971	0	0
A_barn_F04-A_barn_F07	1	1	1	1.677824191000127	0	0
v_tut_F04-A_tart_F07	2	2	1	2.525763621999886	0	0
A_park_F09-v_puck_F08	2	2	1	3.268374051000137	0	0
v_putt_H04-A_part_H06	2	2	1	2.8549896630001967	0	0
v_mutt_H06-A_mart_H05	2	2	1	1.9275857749998977	0	0
A_lark_F09-v_luck_F06	2	2	1	1.6807579149999583	0	0
A_park_H07-v_puck_H04	2	2	1	5.759882199999993	0	0
A_card_F07-v_cud_F09	2	2	1	3.3976681489998555	0	0
v_cud_H08-A_card_H04	2	2	1	5.428306378999878	0	0
v_puck_H07-v_puck_H08	1	1	1	1.1134671019999587	0	0
v_cup_H08-A_carp_H06	2	2	1	1.488430813999912	0	0
v_cut_F05-v_cut_F07	1	1	1	1.3012329530001807	0	0
A_lark_F05-v_luck_F06	2	2	1	1.0454515850001371	0	0
A_cart_H09-v_cut_H07	2	2	1	3.8965704259999256	0	0

#TotalErreurs#0#TempsTotal#3min 37sec
