#Wed May 19 23:09:04 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_barn_F05-v_bun_F06	2	2	1	5.607181988998491	0	0
A_tart_H08-A_tart_H04	1	1	1	7.257869476999986	0	0
A_park_F06-A_park_F05	1	1	1	2.5664104629995563	0	0
v_putt_H09-v_putt_H08	1	1	1	7.305218337000042	0	0
A_lark_H08-A_lark_H09	1	1	1	3.9839477429995895	0	0
v_mutt_H06-A_mart_H05	2	2	1	6.571505570000227	0	0
A_lark_F04-A_lark_F09	1	1	1	3.4301368719989114	0	0
A_carp_H04-A_carp_H05	1	1	1	17.122054097999353	0	0
v_putt_F07-v_putt_F09	1	1	1	2.283852182999908	0	0
v_buck_H07-v_buck_H08	1	1	1	0.10642136800015578	0	0
v_luck_H05-v_luck_H04	1	1	1	6.352474540000912	0	0
A_carp_F08-A_carp_F07	1	1	1	1.8930457019996538	0	0
v_tut_F04-A_tart_F07	2	2	1	3.068364056000064	0	0
v_putt_F05-v_putt_F06	1	1	1	4.554070885000328	0	0
v_luck_F07-v_luck_F09	1	1	1	2.1850339220000023	0	0
v_luck_H04-A_lark_H05	2	2	1	1.6343476590009232	0	0
v_luck_F08-A_lark_F09	2	2	1	2.100004030000491	0	0
v_mutt_H09-v_mutt_H06	1	1	1	1.205766543998834	0	0
v_tut_F09-v_tut_F07	1	1	1	5.430720436001138	0	0
A_carp_H07-v_cup_H06	2	2	1	4.361268956999993	0	0
A_mart_H09-v_mutt_H05	2	2	1	5.924950341001022	0	0
v_cup_H09-v_cup_H06	1	1	1	8.232810945000892	0	0
v_tut_H08-A_tart_H05	2	2	1	3.8356545780006854	0	0
A_lark_H07-v_luck_H08	2	2	1	3.2351496720002615	0	0
A_barn_H09-v_bun_H05	2	2	1	3.756069151999327	0	0
A_cart_F05-v_cut_F04	2	2	1	1.5240020729997923	0	0
A_park_F07-v_puck_F04	2	2	1	1.077506595000159	0	0
v_putt_H06-A_part_H07	2	2	1	3.650580503999663	0	0
v_cut_F04-A_cart_F09	2	2	1	1.0953560849993664	0	0
v_luck_H07-v_luck_H09	1	1	1	0.92575485999987	0	0

#TotalErreurs#0#TempsTotal#4min 15sec
