#Wed Feb  3 14:23:41 2021#Liste2AFC_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_part_F07	part	A	3.6628419529988605	0	1
v_cut_F04	cut	v	1.25680135499897	0	1
A_card_F09	card	A	1.6850438049987133	0	0
v_buck_F07	buck	v	1.298830382000233	0	0
v_mutt_F09	mutt	v	1.2646084110001539	0	0
A_bark_F05	bark	A	1.5376430750002328	0	0
v_putt_F04	putt	v	1.2273867999992945	0	0
A_card_H07	card	A	1.4399354859997402	0	0
A_tart_F08	tart	A	0.9380928410009801	0	2
v_putt_F08	putt	v	0.9201401970003644	0	1
v_buck_F09	buck	v	3.806620641000336	0	0
A_part_F06	part	A	1.3803036619992781	0	0
A_bark_H07	bark	A	1.6509991829989303	0	0
v_luck_H08	luck	v	1.0950691960006225	0	1
v_cut_H04	cut	v	1.334970591000456	0	0
v_tut_H08	tut	v	0.7677949099997932	0	1
v_buck_H05	buck	v	0.8460338029999548	0	1
v_putt_H09	putt	v	1.9036559519990988	0	0
v_tut_H06	tut	v	0.8483052659994428	0	1
A_tart_H04	tart	A	1.5281000600007246	0	0
A_carp_F07	carp	A	1.7392307040008745	0	0
v_tut_F08	tut	v	1.3384364239991555	0	0
v_buck_H07	buck	v	1.5098847520002892	0	0
v_tut_H09	tut	v	5.206766616998721	0	0
A_card_F06	card	A	1.3812647129998368	0	0
A_card_F05	card	A	1.5847476750004716	0	0
v_cud_H09	cud	v	0.8212941839992709	0	1
v_luck_F09	luck	v	1.486116645999573	0	0
v_cup_H06	cup	v	1.6075626740002917	0	0
v_cup_H08	cup	v	1.536259822001739	0	0

#TotalErreurs#0TempsTotal#2min 1sec
