#Fri Feb 19 13:40:43 2021#Liste2AFC_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
i_sick_F05	sick	i	1.803954839706421	0	0
i_chip_H05	chip	i	1.1505670547485352	0	0
i_did_F05	did	i	1.0757911205291748	0	0
I_keep_F04	keep	I	1.4275047779083252	0	0
I_bean_H06	bean	I	1.3204898834228516	0	0
I_deed_F07	deed	I	1.0046968460083008	0	0
I_bean_H04	bean	I	1.932055950164795	0	0
I_mean_F07	mean	I	1.2934880256652832	0	0
I_seek_F05	seek	I	1.9827561378479004	0	0
I_cheap_H06	cheap	I	1.507411003112793	0	0
I_bean_H07	bean	I	1.5162498950958252	0	0
I_leak_F05	leak	I	1.2114343643188477	0	0
i_pick_H08	pick	i	1.7394218444824219	0	0
i_pick_H07	pick	i	1.1495280265808105	0	0
I_deed_H07	deed	I	2.258668899536133	0	0
i_bik_F09	bik	i	1.8823049068450928	0	0
i_tick_F04	tick	i	1.2260589599609375	0	0
I_keep_F05	keep	I	1.6643049716949463	0	0
i_bin_F09	bin	i	1.6781396865844727	0	0
i_min_H08	min	i	1.0323591232299805	0	0
I_cheap_H09	cheap	I	1.7167518138885498	0	0
i_lick_F09	lick	i	1.674997091293335	0	0
I_seek_F08	seek	I	2.934685230255127	0	0
i_kip_H05	kip	i	2.4535531997680664	0	0
I_bean_H08	bean	I	2.0776760578155518	0	0
i_bin_H05	bin	i	1.6698009967803955	0	0
I_cheap_F04	cheap	I	1.2085630893707275	1	0
I_peak_F05	peak	I	1.1847758293151855	0	0
I_teak_F04	teak	I	1.2170991897583008	0	0
i_pick_H06	pick	i	1.4363868236541748	0	0

#TotalErreurs#1TempsTotal#1min 40sec
