Mon Apr 12 16:54:25 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
a_lack_H05	lack	a	a	2.064445972442627	0	0
v_cup_H04	cup	v	a	0.5242259502410889	1	0
I_mean_H04	mean	I	I	1.9410438537597656	0	0
A_mart_H06	mart	A	A	2.9771289825439453	0	0
A_bark_F08	bark	A	A	1.4132049083709717	0	0
a_lack_F09	lack	a	a	1.9237148761749268	0	0
a_lack_F07	lack	a	a	1.3172600269317627	0	0
A_carp_H05	carp	A	v	1.2217857837677002	1	0
i_bin_F08	bin	i	i	1.6804990768432617	0	0
a_pat_H08	pat	a	a	1.9380202293395996	0	1
I_cheap_H07	cheap	I	I	1.884551763534546	0	0
a_back_F05	back	a	a	1.453338861465454	0	0
I_leak_H05	leak	I	I	1.661034107208252	0	0
I_bean_F04	bean	I	i	1.4869928359985352	1	0
I_cheap_F05	cheap	I	I	1.0315752029418945	0	0
A_lark_H05	lark	A	A	1.8361451625823975	0	0
I_cheap_H09	cheap	I	I	1.7859430313110352	0	0
a_cap_F06	cap	a	a	1.6007580757141113	0	0
v_buck_H08	buck	v	v	1.6933472156524658	0	0
i_bik_F05	bik	i	i	1.6583800315856934	0	0
A_carp_F06	carp	A	A	1.8859798908233643	0	0
a_mat_F08	mat	a	a	2.373853921890259	0	0
i_bik_H08	bik	i	i	1.7565701007843018	0	0
i_bik_H05	bik	i	i	2.5332930088043213	0	0
a_lack_H09	lack	a	A	1.1919429302215576	1	0
i_bik_F09	bik	i	i	1.6331977844238281	0	0
I_cheap_F08	cheap	I	I	1.5117199420928955	0	0
v_putt_F05	putt	v	a	1.1479899883270264	1	0
v_luck_F05	luck	v	v	1.1588032245635986	0	0
a_cap_F05	cap	a	a	1.7581918239593506	0	0

#TotalErreurs#5#TempsTotal#1min 58sec
