#Thu Jan 28 20:10:53 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_cup_H06-a_cap_H05	2	2	1	0.7585690021514893	0	0
a_cad_H09-v_cud_H06	2	2	1	0.34117603302001953	0	1
v_putt_F09-v_putt_F08	1	1	1	1.2817280292510986	0	0
v_buck_H07-v_buck_H08	1	2	0	0.28907179832458496	1	0
a_mat_H06-a_mat_H05	1	1	1	0.5283682346343994	0	0
a_mat_F09-v_mutt_F05	2	2	1	0.3950991630554199	0	0
v_mutt_H07-v_mutt_H08	1	2	0	0.7041752338409424	1	0
v_tut_F04-a_tat_F07	2	2	1	0.5875110626220703	0	0
v_buck_F08-a_back_F07	2	2	1	0.5631182193756104	0	0
a_lack_H04-a_lack_H09	1	2	0	0.40015482902526855	1	1
a_mat_H04-a_mat_H05	1	1	1	0.5212626457214355	0	0
v_luck_F09-v_luck_F06	1	1	1	0.42821717262268066	0	0
a_ban_F07-v_bun_F09	2	2	1	0.45114970207214355	0	0
a_tat_H06-a_tat_H08	1	2	0	0.6733360290527344	1	0
v_bun_H04-a_ban_H09	2	2	1	0.9637491703033447	0	1
v_buck_F05-v_buck_F09	1	1	1	0.5298643112182617	0	0
a_pat_F09-v_putt_F04	2	1	0	0.3820490837097168	1	0
v_putt_H04-a_pat_H06	2	1	0	0.4382619857788086	1	0
v_cut_H09-v_cut_H04	1	1	1	0.7929580211639404	0	0
a_tat_H05-v_tut_H04	2	1	0	0.31702208518981934	1	0
a_ban_F08-a_ban_F05	1	2	0	0.3011960983276367	1	0
a_cap_F09-v_cup_F08	2	2	1	0.4833972454071045	0	0
a_cap_F04-a_cap_F05	1	1	1	0.41245579719543457	0	0
a_pack_H06-a_pack_H05	1	1	1	0.6942501068115234	0	0
a_cad_F08-a_cad_F06	1	1	1	0.31908297538757324	0	0
v_bun_F06-a_ban_F07	2	2	1	0.89109206199646	0	0
a_tat_F08-a_tat_F04	1	1	1	0.9629921913146973	0	0
v_mutt_H04-a_mat_H07	2	1	0	1.291482925415039	1	0
a_pat_F04-a_pat_F09	1	1	1	1.0225679874420166	0	0
v_cup_H05-v_cup_H08	1	1	1	0.5672430992126465	0	0

#TotalErreurs#9#TempsTotal#2min 39sec
