#Tue Mar 16 13:39:59 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_carp_H08-A_carp_H07	1	1	1	0.4844191074371338	0	0
A_card_F04-A_card_F08	1	1	1	0.3503077030181885	0	0
A_park_F07-v_puck_F04	2	2	1	0.7087109088897705	0	0
v_luck_F09-v_luck_F06	1	1	1	0.7715070247650146	0	0
v_luck_H04-A_lark_H05	2	1	0	0.34018492698669434	1	0
v_buck_F06-A_bark_F08	2	2	1	0.34378600120544434	0	0
v_bun_H06-A_barn_H07	2	2	1	0.953204870223999	0	0
v_buck_H09-v_buck_H04	1	2	0	0.472869873046875	1	0
A_bark_H07-v_buck_H04	2	2	1	0.6663269996643066	0	0
v_mutt_F08-A_mart_F09	2	2	1	0.89621901512146	0	0
A_tart_F08-A_tart_F04	1	1	1	0.6422271728515625	0	0
A_barn_H08-A_barn_H05	1	1	1	0.6734890937805176	0	0
A_lark_H04-A_lark_H09	1	1	1	0.24942588806152344	0	0
v_tut_F06-A_tart_F09	2	2	1	0.39066219329833984	0	0
A_carp_H09-v_cup_H08	2	2	1	1.4531278610229492	0	0
A_part_F06-A_part_F05	1	1	1	0.5691328048706055	0	0
A_carp_F09-v_cup_F08	2	2	1	0.6613302230834961	0	0
A_park_F04-A_park_F06	1	1	1	0.6779561042785645	0	0
A_barn_F09-v_bun_F05	2	1	0	0.250028133392334	1	0
A_cart_F04-A_cart_F05	1	1	1	0.4187958240509033	0	0
A_tart_F09-v_tut_F05	2	2	1	0.619452953338623	0	0
v_bun_H09-v_bun_H07	1	1	1	0.8709979057312012	0	0
A_card_F07-v_cud_F09	2	2	1	0.7137100696563721	0	0
v_mutt_F09-v_mutt_F06	1	1	1	1.0172228813171387	0	0
v_puck_H06-A_park_H08	2	1	0	0.4334442615509033	1	0
v_putt_H05-v_putt_H06	1	1	1	1.5313711166381836	0	0
v_cud_F07-v_cud_F08	1	1	1	0.5176939964294434	0	0
A_mart_F07-v_mutt_F09	2	1	0	0.25658202171325684	1	0
A_bark_F04-A_bark_F09	1	1	1	0.7963929176330566	0	0
v_mutt_F07-v_mutt_F08	1	1	1	0.30143094062805176	0	0

#TotalErreurs#5#TempsTotal#2min 15sec
