#Tue Mar 30 11:05:42 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
i_did_F04-I_deed_F09	2	2	1	0.6578991413116455	0	0
i_bik_H05-i_bik_H06	1	1	1	0.5956709384918213	0	0
i_chip_F09-i_cheap_F06	1	2	0	0.35564494132995605	1	0
i_bik_F04-I_beak_F06	2	2	1	0.32281994819641113	0	0
I_deed_F04-I_deed_F05	1	1	1	0.6891319751739502	0	0
I_seek_H05-i_sick_H07	2	1	0	0.3189840316772461	1	0
i_lick_F07-i_lick_F08	1	2	0	0.9782218933105469	1	0
i_did_H07-i_did_H04	1	1	1	0.4158608913421631	0	0
I_deed_H05-i_did_H04	2	2	1	0.8085429668426514	0	0
i_sick_H06-I_seek_H05	2	2	1	0.426271915435791	0	0
i_bin_H09-i_bin_H06	1	1	1	1.7022132873535156	0	0
i_tick_H04-I_teak_H07	2	2	1	2.6584320068359375	0	0
I_leak_F08-I_leak_F09	1	1	1	0.6974279880523682	0	0
I_deed_F07-i_did_F05	2	2	1	0.6287939548492432	0	0
I_cheap_F08-I_chip_F07	1	2	0	0.7725961208343506	1	0
I_bean_H08-I_bean_H09	1	1	1	0.7883603572845459	0	0
I_peak_H04-I_peak_H07	1	1	1	0.5385808944702148	0	0
I_keep_H04-I_keep_H08	1	1	1	1.7186558246612549	0	0
i_sick_F07-i_sick_F08	1	2	0	0.3246941566467285	1	0
I_deed_H09-i_did_H07	2	2	1	0.6688442230224609	0	0
I_leak_F06-I_leak_F05	1	1	1	1.1083509922027588	0	0
i_sick_F09-i_sick_F06	1	1	1	0.3195457458496094	0	0
i_bin_F07-i_bin_F09	1	1	1	0.3134629726409912	0	0
i_min_F09-i_min_F04	1	1	1	0.6379246711730957	0	0
i_kip_F06-I_keep_F05	2	2	1	0.41064000129699707	0	0
i_bin_H04-I_bean_H05	2	2	1	0.32472705841064453	0	0
i_bik_H04-I_beak_H06	2	2	1	0.3446540832519531	0	0
I_beak_H07-i_bik_H04	2	2	1	0.3146047592163086	0	0
i_pick_H09-i_pick_H07	1	1	1	0.8654639720916748	0	0
i_pick_F09-i_pick_F07	1	1	1	0.319868803024292	0	0

#TotalErreurs#5#TempsTotal#2min 11sec
