#Mon May 03 11:49:41 2021#Liste2AFC_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_pack_H07	pack	a	3.1682469844818115	0	0
a_mat_F04	mat	a	1.551246166229248	0	0
a_tat_H08	tat	a	0.9836130142211914	0	0
v_tut_F09	tut	v	1.751328945159912	0	0
v_cud_H04	cud	v	1.6775422096252441	1	1
a_cat_H09	cat	a	1.3995778560638428	0	0
v_buck_H06	buck	v	1.844331979751587	0	0
v_cut_H04	cut	v	1.052887201309204	1	1
v_puck_F06	puck	v	1.0273101329803467	0	0
v_buck_F05	buck	v	0.9356768131256104	0	0
a_pack_F04	pack	a	1.4734721183776855	0	0
a_cat_H04	cat	a	1.2336139678955078	1	0
a_cat_F09	cat	a	1.3506650924682617	0	0
a_ban_F08	ban	a	1.1924948692321777	0	0
v_mutt_H05	mutt	v	1.5206139087677002	0	0
a_back_F09	back	a	1.4897639751434326	0	0
a_lack_H07	lack	a	1.1457898616790771	0	0
v_tut_H07	tut	v	1.657459020614624	0	0
v_puck_H05	puck	v	1.079683780670166	0	0
v_puck_F08	puck	v	0.9455139636993408	0	0
a_ban_F04	ban	a	1.340123176574707	0	0
v_putt_F08	putt	v	1.3914659023284912	0	0
a_back_H04	back	a	1.4239611625671387	0	0
a_cat_H06	cat	a	1.3809819221496582	0	0
v_cud_H06	cud	v	1.5469119548797607	0	0
v_mutt_H06	mutt	v	1.7930521965026855	0	0
a_cap_H06	cap	a	1.4082200527191162	0	0
a_lack_F08	lack	a	1.1283648014068604	0	0
v_bun_H05	bun	v	1.8614099025726318	0	0
v_cup_F08	cup	v	1.2192151546478271	0	0

#TotalErreurs#3TempsTotal#1min 48sec
