Fri Apr 09 18:59:00 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
a_mat_F08	mat	a	a	2.4291038513183594	0	0
a_lack_H04	lack	a	a	1.095398187637329	0	0
a_back_H05	back	a	a	1.000572919845581	0	0
a_lack_F08	lack	a	a	0.9645898342132568	0	0
i_bik_H07	bik	i	i	2.242586851119995	0	0
a_pat_H08	pat	a	A	1.3537468910217285	1	0
v_buck_F06	buck	v	v	1.6299798488616943	0	0
i_bin_H05	bin	i	i	1.9862980842590332	0	0
I_beak_H08	beak	I	I	1.9086101055145264	0	0
I_bean_H05	bean	I	I	1.3006350994110107	0	0
a_mat_H07	mat	a	A	1.5456140041351318	1	0
i_bik_H05	bik	i	i	1.5495591163635254	0	0
i_bin_H08	bin	i	i	1.6738128662109375	0	0
a_cap_H09	cap	a	a	1.7320127487182617	0	0
a_back_H07	back	a	a	1.4745662212371826	0	0
I_leak_F08	leak	I	I	2.1066858768463135	0	0
a_cap_H08	cap	a	v	1.2359366416931152	1	0
i_bin_H04	bin	i	i	1.600219964981079	0	0
a_cap_H06	cap	a	a	1.6921195983886719	0	0
a_lack_F07	lack	a	a	1.1214091777801514	0	0
I_mean_H09	mean	I	i	1.8058137893676758	1	0
a_lack_H06	lack	a	v	0.4161839485168457	2	0
v_putt_F04	putt	v	a	0.6491498947143555	1	0
I_mean_F09	mean	I	I	1.7274270057678223	0	0
i_bik_H08	bik	i	i	1.5372440814971924	0	0
A_part_F05	part	A	A	2.609039068222046	0	0
v_luck_H08	luck	v	v	2.242011070251465	0	0
a_mat_F05	mat	a	a	1.9244112968444824	0	0
a_mat_H09	mat	a	a	1.370887041091919	0	0
I_beak_F07	beak	I	I	1.8394439220428467	0	0

#TotalErreurs#7#TempsTotal#2min 3sec
