Mon Mar 29 09:52:35 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
A_bark_F04	bark	A	A	1.9789869785308838	0	0
I_cheap_F07	cheap	I	I	1.7917392253875732	0	0
A_lark_H08	lark	A	A	1.970930814743042	0	0
i_bik_H09	bik	i	i	1.6876740455627441	0	0
I_beak_F06	beak	I	I	1.5451982021331787	0	0
a_back_H05	back	a	a	1.3867700099945068	0	0
i_bin_F06	bin	i	i	2.956929922103882	0	0
i_bik_H04	bik	i	i	1.0100181102752686	0	0
a_mat_F09	mat	a	a	1.7858171463012695	0	0
v_putt_F07	putt	v	v	2.0721099376678467	0	0
i_chip_H06	chip	i	i	1.556748867034912	0	0
a_pat_H06	pat	a	a	2.1504015922546387	0	0
a_cap_H05	cap	a	a	1.0569019317626953	0	0
i_lick_F05	lick	i	i	1.5140299797058105	0	0
v_mutt_H09	mutt	v	v	2.0494730472564697	0	0
a_back_F06	back	a	a	1.5181901454925537	0	0
I_bean_F07	bean	I	I	3.622730016708374	0	0
A_mart_H06	mart	A	A	3.618021011352539	0	0
a_pat_F05	pat	a	a	1.5565578937530518	0	0
I_bean_F04	bean	I	i	1.5915839672088623	1	0
I_cheap_H08	cheap	I	I	1.077737808227539	0	0
A_part_H06	part	A	A	1.6225693225860596	0	0
A_lark_F08	lark	A	v	1.0406441688537598	1	0
a_lack_H07	lack	a	a	1.8526580333709717	0	0
A_mart_F04	mart	A	A	1.4726781845092773	0	0
I_cheap_F08	cheap	I	I	3.2011570930480957	0	0
i_bin_F08	bin	i	i	2.077471971511841	0	0
I_mean_H05	mean	I	I	1.663520097732544	0	0
a_back_H06	back	a	a	1.8902642726898193	0	0
a_cap_F09	cap	a	v	0.7580089569091797	1	0

#TotalErreurs#3#TempsTotal#1min 56sec
