Sat Jan 30 15:04:58 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
i_did_F07	did	i	i	1.8481788635253906	0	0
a_ban_F06	ban	a	a	2.114917039871216	0	0
A_cart_F07	cart	A	A	1.6586828231811523	0	0
I_keep_H08	keep	I	I	1.4559948444366455	0	0
I_seek_F08	seek	I	I	1.7099521160125732	0	0
a_ban_H04	ban	a	a	1.7044498920440674	0	0
I_deed_F09	deed	I	I	2.0165858268737793	0	0
I_keep_H05	keep	I	I	2.0593807697296143	0	0
I_keep_F07	keep	I	I	1.1696770191192627	0	0
a_cad_F05	cad	a	A	1.218705177307129	1	0
A_card_H05	card	A	A	1.855865240097046	0	0
i_kip_H08	kip	i	i	1.7677159309387207	0	0
i_did_H04	did	i	i	1.960155963897705	0	0
v_bun_H05	bun	v	v	1.872054100036621	0	0
i_pick_H06	pick	i	i	1.648542881011963	0	0
I_teak_H05	teak	I	I	1.8835570812225342	0	0
v_cud_H08	cud	v	A	0.8156158924102783	1	0
v_cud_H04	cud	v	a	0.801724910736084	2	0
a_ban_H08	ban	a	a	1.5875201225280762	0	0
i_did_F04	did	i	i	1.5661981105804443	0	0
v_cut_F05	cut	v	a	1.0485188961029053	2	0
a_cad_F09	cad	a	a	1.606640338897705	0	0
A_park_F07	park	A	v	0.5367279052734375	1	0
I_seek_H06	seek	I	A	0.4509439468383789	2	0
I_keep_H09	keep	I	I	0.44525790214538574	0	0
a_tat_H09	tat	a	I	4.593858957290649	1	0
A_barn_H05	barn	A	v	1.0688600540161133	1	0
v_tut_F04	tut	v	A	1.0299303531646729	1	0
v_bun_F06	bun	v	v	1.1717808246612549	0	0
I_peak_H05	peak	I	I	3.1863691806793213	0	0

#TotalErreurs#12#TempsTotal#2min 22sec
