#Wed Feb 10 18:18:02 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_ban_H09-v_bun_H05	2	2	1	0.3530881404876709	0	0
v_luck_H06-a_lack_H04	2	2	1	0.8412139415740967	0	0
a_cap_H07-v_cup_H06	2	2	1	0.5991537570953369	0	0
v_putt_F08-a_pat_F04	2	2	1	0.44211316108703613	0	0
v_bun_F04-a_ban_F09	2	2	1	0.18004512786865234	0	0
a_ban_F06-a_ban_F08	1	1	1	0.6051509380340576	0	0
a_tat_F07-v_tut_F04	2	1	0	0.1870439052581787	1	0
a_cad_F08-a_cad_F06	1	2	0	0.16704177856445312	1	0
a_ban_H05-v_bun_H06	2	2	1	0.6781711578369141	0	0
a_ban_H07-v_bun_H09	2	2	1	0.22905588150024414	0	0
a_back_F09-v_buck_F07	2	2	1	0.25908803939819336	0	0
v_cup_F09-v_cup_F06	1	1	1	1.003262996673584	0	0
a_cad_H09-v_cud_H06	2	1	0	0.24308514595031738	1	0
a_back_H09-v_buck_H07	2	1	0	0.4271090030670166	1	0
a_cad_H06-a_cad_H07	1	1	1	0.919234037399292	0	0
a_cad_F07-v_cud_F09	2	1	0	0.16704082489013672	1	0
a_back_F07-v_buck_F04	2	1	0	0.5801479816436768	1	0
v_cut_F05-v_cut_F07	1	1	1	0.804203987121582	0	0
a_pack_F09-v_puck_F08	2	2	1	0.7791979312896729	0	0
v_cud_H04-a_cad_H07	2	2	1	1.4323680400848389	0	0
v_cup_H09-v_cup_H06	1	2	0	0.5721209049224854	1	0
v_luck_F09-v_luck_F06	1	1	1	0.22005987167358398	0	0
a_cap_F08-a_cap_F07	1	2	0	0.1720292568206787	1	0
a_lack_H06-a_lack_H05	1	1	1	0.5241348743438721	0	0
a_tat_H08-a_tat_H04	1	1	1	0.9392399787902832	0	0
v_buck_F07-v_buck_F08	1	1	1	0.21205520629882812	0	0
a_tat_F09-v_tut_F05	2	1	0	0.19205498695373535	1	0
v_puck_H04-a_pack_H07	2	1	0	0.1650409698486328	1	0
v_tut_F09-v_tut_F07	1	1	1	0.7842071056365967	0	0
v_cud_H07-v_cud_H08	1	1	1	0.16204023361206055	0	0

#TotalErreurs#10#TempsTotal#2min 24sec
